""	"X"	"Taxonomic_ID"	"DirectSM_H4"	"DirectSM_H5"	"DirectSM_H6"	"DirectSM_H7"	"SM_H4"	"SM_H5"	"SM_H6"	"SM_H7"	"Superkingdom"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Sum"
"517"	517	2676441	78	39	29	147	77	35	45	148	"Bacteria"	NA	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Bombella"	"Bombella sp. ESL0368"	598
"529"	529	297	0	162	0	0	0	2	0	0	"Bacteria"	NA	"Proteobacteria"	"Hydrogenophilalia"	"Hydrogenophilales"	"Hydrogenophilaceae"	"Hydrogenophilus"	"Hydrogenophilus thermoluteolus"	164
"556"	556	1290	0	95	7	3	0	14	1	38	"Bacteria"	NA	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus hominis"	158
"557"	557	1302	0	46	3	0	0	12	0	132	"Bacteria"	NA	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus gordonii"	193
"560"	560	1305	0	41	2	0	0	6	0	71	"Bacteria"	NA	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus sanguinis"	120
"561"	561	1308	0	3	1	0	0	2	1	357	"Bacteria"	NA	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus thermophilus"	364
"647"	647	34062	0	25	6	9	3	3	16	148	"Bacteria"	NA	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Moraxella"	"Moraxella osloensis"	210
"698"	698	76773	0	184	10	3	1	26	2	71	"Eukaryota"	"Fungi"	"Basidiomycota"	"Malasseziomycetes"	"Malasseziales"	"Malasseziaceae"	"Malassezia"	"Malassezia globosa"	297
"734"	734	152509	0	232	0	0	0	8	0	0	"Bacteria"	NA	"Bacteroidetes"	NA	NA	NA	NA	"uncultured Bacteroidetes bacterium"	240
"748"	748	180282	0	444	0	0	0	9	0	0	"Bacteria"	NA	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Delftia"	"Delftia tsuruhatensis"	453
