"","GO_species","DirectSM_H4","DirectSM_H5","DirectSM_H6","DirectSM_H7","SM_H4","SM_H5","SM_H6","SM_H7","GO_number","GO_description","Species","Taxonomic_ID"
"71","GO:0000175_3'-5'-exoribonuclease activity|138074",17.7013437814241,0,3.81160996101399,0,5.58205313812942,4.44676184142285,0,0,"GO:0000175","3'-5'-exoribonuclease activity","Serratia symbiotica","138074"
"72","GO:0000175_3'-5'-exoribonuclease activity|48296",1.22078232975339,0,0,0,0,0,0,0,"GO:0000175","3'-5'-exoribonuclease activity","Acinetobacter pittii","48296"
"73","GO:0000179_rRNA (adenine-N6,N6-)-dimethyltransferase activity|138074",2.74676024194512,0,0,0,7.55550626777114,10.7393493528703,0,0,"GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity","Serratia symbiotica","138074"
"74","GO:0000179_rRNA (adenine-N6,N6-)-dimethyltransferase activity|33968",1.15974321326572,0,0,0,0,0,0,0,"GO:0000179","rRNA (adenine-N6,N6-)-dimethyltransferase activity","Leuconostoc pseudomesenteroides","33968"
"75","GO:0000225_N-acetylglucosaminylphosphatidylinositol deacetylase activity|47885",0.0610391164876693,0,0,0,0.479267188627274,0,0,0,"GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity","Pseudomonas oryzihabitans","47885"
"76","GO:0000270_peptidoglycan metabolic process|1239307",5.92079429930392,0,0,0,4.93363282410429,0,0,0,"GO:0000270","peptidoglycan metabolic process","Sodalis praecaptivus","1239307"
"77","GO:0000270_peptidoglycan metabolic process|138074",78.8625385020687,276.204775657991,0,0,60.5568188924344,77.1890734737552,0,0,"GO:0000270","peptidoglycan metabolic process","Serratia symbiotica","138074"
"78","GO:0000270_peptidoglycan metabolic process|1914861",0.122078232975339,0,0,0,0.930342189688237,0,0,0,"GO:0000270","peptidoglycan metabolic process","Enterobacter sp. SA187","1914861"
"79","GO:0000270_peptidoglycan metabolic process|47885",4.33377727062452,0,0,0,0.394690625928343,0,0,0,"GO:0000270","peptidoglycan metabolic process","Pseudomonas oryzihabitans","47885"
"80","GO:0000270_peptidoglycan metabolic process|69218",1.40389967921639,0,0,0,0.310114063229412,0,0,0,"GO:0000270","peptidoglycan metabolic process","Enterobacter cancerogenus","69218"
"81","GO:0000270_peptidoglycan metabolic process|82987",1.15974321326572,0,0,0,0.366498438362033,0,0,0,"GO:0000270","peptidoglycan metabolic process","Tatumella ptyseos","82987"
"82","GO:0000271_polysaccharide biosynthetic process|1239307",0.122078232975339,0,0,0,2.59368125610054,0,0,0,"GO:0000271","polysaccharide biosynthetic process","Sodalis praecaptivus","1239307"
"83","GO:0000271_polysaccharide biosynthetic process|138074",16.8467961505967,118.373475281996,133.40634863549,0,26.7543860004284,20.9752917048248,26.101848700729,0,"GO:0000271","polysaccharide biosynthetic process","Serratia symbiotica","138074"
"84","GO:0000271_polysaccharide biosynthetic process|69218",0.0610391164876693,0,0,0,0.225537500530482,0,0,0,"GO:0000271","polysaccharide biosynthetic process","Enterobacter cancerogenus","69218"
"85","GO:0000272_polysaccharide catabolic process|138074",1.89221261111775,0,7.62321992202799,0,1.29684062805027,1.59412216956668,0,0,"GO:0000272","polysaccharide catabolic process","Serratia symbiotica","138074"
"86","GO:0000272_polysaccharide catabolic process|33968",0.85454763082737,0,0,0,0.0845765626989307,0,0,0,"GO:0000272","polysaccharide catabolic process","Leuconostoc pseudomesenteroides","33968"
"87","GO:0000272_polysaccharide catabolic process|47885",0.122078232975339,0,0,0,0,0,0,0,"GO:0000272","polysaccharide catabolic process","Pseudomonas oryzihabitans","47885"
"88","GO:0000287_magnesium ion binding|1239307",19.4714781595665,0,0,0,8.8241547082551,0,0,0,"GO:0000287","magnesium ion binding","Sodalis praecaptivus","1239307"
"89","GO:0000287_magnesium ion binding|1267021",2.68572112545745,4077.30859304653,251.566257426924,470.695154129074,3.49583125822247,323.690701588856,34.1331867624918,0,"GO:0000287","magnesium ion binding","Frischella perrara","1267021"
"90","GO:0000287_magnesium ion binding|138074",618.32625002009,420.883467669319,354.479726374301,610.160384982133,595.165271712375,605.514720934882,821.204316815243,638.41789964615,"GO:0000287","magnesium ion binding","Serratia symbiotica","138074"
"91","GO:0000287_magnesium ion binding|1914861",11.5974321326572,0,0,0,8.62680939529093,0,0,0,"GO:0000287","magnesium ion binding","Enterobacter sp. SA187","1914861"
"92","GO:0000287_magnesium ion binding|33968",29.7870888459826,0,0,127.843128281971,28.6996469425038,0,46.1801938551359,235.937049869229,"GO:0000287","magnesium ion binding","Leuconostoc pseudomesenteroides","33968"
"93","GO:0000287_magnesium ion binding|40216",1.28182144624106,0,0,0,1.77610781667754,0,0,0,"GO:0000287","magnesium ion binding","Acinetobacter radioresistens","40216"
"94","GO:0000287_magnesium ion binding|47885",19.5325172760542,0,121.971518752448,0,8.8241547082551,0,0,0,"GO:0000287","magnesium ion binding","Pseudomonas oryzihabitans","47885"
"95","GO:0000287_magnesium ion binding|48296",5.43248136740257,0,0,0,4.65171094844119,0,40.1566903088139,0,"GO:0000287","magnesium ion binding","Acinetobacter pittii","48296"
"96","GO:0000287_magnesium ion binding|548",0.549352048389024,0,0,0,1.69153125397861,0,0,0,"GO:0000287","magnesium ion binding","Klebsiella aerogenes","548"
"97","GO:0000287_magnesium ion binding|69218",23.072786032339,0,0,0,10.9667609632947,0,0,0,"GO:0000287","magnesium ion binding","Enterobacter cancerogenus","69218"
"98","GO:0000287_magnesium ion binding|82987",4.39481638711219,0,80.0438091812939,0,12.2636015913449,0,32.1253522470511,0,"GO:0000287","magnesium ion binding","Tatumella ptyseos","82987"
"99","GO:0000303_response to superoxide|138074",0.0610391164876693,0,0,0,0.0281921875663102,0,0,0,"GO:0000303","response to superoxide","Serratia symbiotica","138074"
"100","GO:0000309_nicotinamide-nucleotide adenylyltransferase activity|138074",5.12728578496422,124.949779464329,0,0,8.542232832592,15.1022100274738,72.2820425558649,0,"GO:0000309","nicotinamide-nucleotide adenylyltransferase activity","Serratia symbiotica","138074"
"101","GO:0000309_nicotinamide-nucleotide adenylyltransferase activity|33968",0.305195582438346,0,0,0,0.507459376193584,0,0,0,"GO:0000309","nicotinamide-nucleotide adenylyltransferase activity","Leuconostoc pseudomesenteroides","33968"
"102","GO:0000309_nicotinamide-nucleotide adenylyltransferase activity|69218",0.0610391164876693,0,0,0,0.0281921875663102,0,0,0,"GO:0000309","nicotinamide-nucleotide adenylyltransferase activity","Enterobacter cancerogenus","69218"
"103","GO:0000310_xanthine phosphoribosyltransferase activity|1239307",2.80779935843279,0,0,0,0,0,0,0,"GO:0000310","xanthine phosphoribosyltransferase activity","Sodalis praecaptivus","1239307"
"104","GO:0000310_xanthine phosphoribosyltransferase activity|69218",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000310","xanthine phosphoribosyltransferase activity","Enterobacter cancerogenus","69218"
"105","GO:0000345_cytosolic DNA-directed RNA polymerase complex|47885",0.0610391164876693,0,0,0,0.0281921875663102,0,0,0,"GO:0000345","cytosolic DNA-directed RNA polymerase complex","Pseudomonas oryzihabitans","47885"
"106","GO:0000398_mRNA splicing, via spliceosome|82987",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000398","mRNA splicing, via spliceosome","Tatumella ptyseos","82987"
"107","GO:0000453_enzyme-directed rRNA 2'-O-methylation|1239307",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000453","enzyme-directed rRNA 2'-O-methylation","Sodalis praecaptivus","1239307"
"108","GO:0000453_enzyme-directed rRNA 2'-O-methylation|138074",10.7428845018298,0,0,0,8.11935001909734,9.0613260164843,0,0,"GO:0000453","enzyme-directed rRNA 2'-O-methylation","Serratia symbiotica","138074"
"109","GO:0000453_enzyme-directed rRNA 2'-O-methylation|47885",0.976625863802709,0,0,0,0.0281921875663102,0,0,13.8786499923076,"GO:0000453","enzyme-directed rRNA 2'-O-methylation","Pseudomonas oryzihabitans","47885"
"110","GO:0000455_enzyme-directed rRNA pseudouridine synthesis|138074",1.15974321326572,0,0,0,1.57876250371337,1.17461633547019,0,0,"GO:0000455","enzyme-directed rRNA pseudouridine synthesis","Serratia symbiotica","138074"
"111","GO:0000455_enzyme-directed rRNA pseudouridine synthesis|69218",0.0610391164876693,0,0,0,0.0281921875663102,0,0,0,"GO:0000455","enzyme-directed rRNA pseudouridine synthesis","Enterobacter cancerogenus","69218"
"112","GO:0000462_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|138074",0.0610391164876693,0,0,0,0.0281921875663102,0,0,0,"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Serratia symbiotica","138074"
"113","GO:0000463_maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|1239307",0.0610391164876693,0,0,0,0.225537500530482,0,0,0,"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Sodalis praecaptivus","1239307"
"114","GO:0000463_maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|138074",0.244156465950677,6.57630418233311,0,0,0.197345312964172,0.335604667277196,0,0,"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Serratia symbiotica","138074"
"115","GO:0000502_proteasome complex|47885",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000502","proteasome complex","Pseudomonas oryzihabitans","47885"
"116","GO:0000716_transcription-coupled nucleotide-excision repair, DNA damage recognition|138074",36.5624307761139,118.373475281996,0,0,20.4393359855749,30.5400247222249,0,0,"GO:0000716","transcription-coupled nucleotide-excision repair, DNA damage recognition","Serratia symbiotica","138074"
"117","GO:0000716_transcription-coupled nucleotide-excision repair, DNA damage recognition|33968",0.0610391164876693,0,0,0,0.958534377254548,0,0,0,"GO:0000716","transcription-coupled nucleotide-excision repair, DNA damage recognition","Leuconostoc pseudomesenteroides","33968"
"118","GO:0000716_transcription-coupled nucleotide-excision repair, DNA damage recognition|69218",0.732469397852032,0,0,0,0,0,0,0,"GO:0000716","transcription-coupled nucleotide-excision repair, DNA damage recognition","Enterobacter cancerogenus","69218"
"119","GO:0000721_dehydrogenase activity|47885",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000721","dehydrogenase activity","Pseudomonas oryzihabitans","47885"
"120","GO:0000721_dehydrogenase activity|48296",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000721","dehydrogenase activity","Acinetobacter pittii","48296"
"121","GO:0000724_double-strand break repair via homologous recombination|1239307",0.671430281364362,0,0,0,1.24045625291765,0,0,0,"GO:0000724","double-strand break repair via homologous recombination","Sodalis praecaptivus","1239307"
"122","GO:0000724_double-strand break repair via homologous recombination|138074",99.1275251759749,0,0,232.442051421765,92.2730299045334,114.189488041066,118.462236411001,0,"GO:0000724","double-strand break repair via homologous recombination","Serratia symbiotica","138074"
"123","GO:0000724_double-strand break repair via homologous recombination|1914861",6.71430281364362,0,0,0,1.26864844048396,0,0,0,"GO:0000724","double-strand break repair via homologous recombination","Enterobacter sp. SA187","1914861"
"124","GO:0000724_double-strand break repair via homologous recombination|33968",2.74676024194512,0,0,0,1.52237812858075,0,0,0,"GO:0000724","double-strand break repair via homologous recombination","Leuconostoc pseudomesenteroides","33968"
"125","GO:0000724_double-strand break repair via homologous recombination|47885",1.03766498029038,0,0,0,0.197345312964172,0,0,0,"GO:0000724","double-strand break repair via homologous recombination","Pseudomonas oryzihabitans","47885"
"126","GO:0000724_double-strand break repair via homologous recombination|69218",3.35715140682181,0,0,0,4.03148282198236,0,0,0,"GO:0000724","double-strand break repair via homologous recombination","Enterobacter cancerogenus","69218"
"127","GO:0000725_recombinational repair|138074",3.47922963979715,0,0,0,6.82250939104707,8.47401784874921,24.0940141852883,0,"GO:0000725","recombinational repair","Serratia symbiotica","138074"
"128","GO:0000725_recombinational repair|33968",1.28182144624106,0,0,0,1.24045625291765,0,0,0,"GO:0000725","recombinational repair","Leuconostoc pseudomesenteroides","33968"
"129","GO:0000731_DNA synthesis involved in DNA repair|1239307",0.122078232975339,0,0,0,0,0,0,0,"GO:0000731","DNA synthesis involved in DNA repair","Sodalis praecaptivus","1239307"
"130","GO:0000731_DNA synthesis involved in DNA repair|138074",0.610391164876693,0,0,0,0.281921875663102,0.167802333638598,0,0,"GO:0000731","DNA synthesis involved in DNA repair","Serratia symbiotica","138074"
"131","GO:0000746_conjugation|138074",0.85454763082737,19.7289125469993,0,0,0.732996876724066,1.92972683684388,8.03133806176277,0,"GO:0000746","conjugation","Serratia symbiotica","138074"
"132","GO:0000746_conjugation|1639133",0.610391164876693,0,0,0,2.14260625503958,0,0,0,"GO:0000746","conjugation","Citrobacter portucalensis","1639133"
"133","GO:0000746_conjugation|63612",10.0714542204654,0,0,0,3.21390938255937,0,0,0,"GO:0000746","conjugation","Sodalis glossinidius","63612"
"134","GO:0000746_conjugation|82987",0.122078232975339,0,0,0,0,0,0,0,"GO:0000746","conjugation","Tatumella ptyseos","82987"
"135","GO:0000774_adenyl-nucleotide exchange factor activity|138074",8.72859365773671,0,0,0,5.5256687629968,7.88670968101412,0,0,"GO:0000774","adenyl-nucleotide exchange factor activity","Serratia symbiotica","138074"
"136","GO:0000774_adenyl-nucleotide exchange factor activity|1914861",1.28182144624106,0,0,0,0,0,0,0,"GO:0000774","adenyl-nucleotide exchange factor activity","Enterobacter sp. SA187","1914861"
"137","GO:0000810_diacylglycerol diphosphate phosphatase activity|138074",0.0610391164876693,0,0,0,0.0563843751326204,0.167802333638598,0,0,"GO:0000810","diacylglycerol diphosphate phosphatase activity","Serratia symbiotica","138074"
"138","GO:0000810_diacylglycerol diphosphate phosphatase activity|69218",0.0610391164876693,0,0,0,0,0,0,0,"GO:0000810","diacylglycerol diphosphate phosphatase activity","Enterobacter cancerogenus","69218"
"139","GO:0000820_regulation of glutamine family amino acid metabolic process|138074",8.66755454124904,0,0,0,12.6582922172733,13.3402855242686,0,0,"GO:0000820","regulation of glutamine family amino acid metabolic process","Serratia symbiotica","138074"
"140","GO:0000820_regulation of glutamine family amino acid metabolic process|47885",4.63897285306287,0,0,0,0.535651563759894,0,0,0,"GO:0000820","regulation of glutamine family amino acid metabolic process","Pseudomonas oryzihabitans","47885"
