# Gene Family	ETBH_Abundance-RPKs	OTBH_Abundance-RPKs
GO:0001216: [MF] bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding	4.627	0.0
GO:0001216: [MF] bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding|g__Zymomonas.s__Zymomonas_mobilis	4.627	0.0
GO:0001522: [BP] pseudouridine synthesis	136.729	6.18
GO:0001522: [BP] pseudouridine synthesis|g__Lactobacillus.s__Lactobacillus_kunkeei	117.659	6.18
GO:0001522: [BP] pseudouridine synthesis|g__Zymomonas.s__Zymomonas_mobilis	19.071	0.0
GO:0001680: [BP] tRNA 3'-terminal CCA addition	29.838	0.0
GO:0001680: [BP] tRNA 3'-terminal CCA addition|g__Lactobacillus.s__Lactobacillus_kunkeei	29.838	0.0
GO:0001682: [BP] tRNA 5'-leader removal	19.243	0.0
GO:0001682: [BP] tRNA 5'-leader removal|g__Lactobacillus.s__Lactobacillus_kunkeei	19.243	0.0
GO:0002098: [BP] tRNA wobble uridine modification	30.88	0.0
GO:0002098: [BP] tRNA wobble uridine modification|g__Lactobacillus.s__Lactobacillus_kunkeei	24.885	0.0
GO:0002098: [BP] tRNA wobble uridine modification|g__Zymomonas.s__Zymomonas_mobilis	5.995	0.0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing	38.333	0.0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|g__Lactobacillus.s__Lactobacillus_kunkeei	27.18	0.0
GO:0002100: [BP] tRNA wobble adenosine to inosine editing|g__Zymomonas.s__Zymomonas_mobilis	11.153	0.0
GO:0002161: [MF] aminoacyl-tRNA editing activity	142.724	0.0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Lactobacillus.s__Lactobacillus_kunkeei	130.769	0.0
GO:0002161: [MF] aminoacyl-tRNA editing activity|g__Zymomonas.s__Zymomonas_mobilis	11.955	0.0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification	125.167	0.0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification|g__Lactobacillus.s__Lactobacillus_kunkeei	86.176	0.0
GO:0002949: [BP] tRNA threonylcarbamoyladenosine modification|g__Zymomonas.s__Zymomonas_mobilis	38.991	0.0
GO:0003676: [MF] nucleic acid binding	1928.359	59.946
GO:0003676: [MF] nucleic acid binding|g__Acetobacter.s__Acetobacter_orientalis	500.0	0.0
GO:0003676: [MF] nucleic acid binding|g__Acinetobacter.s__Acinetobacter_boissieri	5.858	0.0
GO:0003676: [MF] nucleic acid binding|g__Lactobacillus.s__Lactobacillus_kunkeei	1364.027	59.946
GO:0003676: [MF] nucleic acid binding|g__Zymomonas.s__Zymomonas_mobilis	58.474	0.0
GO:0003677: [MF] DNA binding	5767.122	119.907
GO:0003677: [MF] DNA binding|g__Acetobacter.s__Acetobacter_orientalis	169.263	0.0
GO:0003677: [MF] DNA binding|g__Acinetobacter.s__Acinetobacter_boissieri	32.754	0.0
GO:0003677: [MF] DNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	4998.426	119.907
GO:0003677: [MF] DNA binding|g__Zymomonas.s__Zymomonas_mobilis	566.678	0.0
GO:0003678: [MF] DNA helicase activity	30.27	0.0
GO:0003678: [MF] DNA helicase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	24.358	0.0
GO:0003678: [MF] DNA helicase activity|g__Zymomonas.s__Zymomonas_mobilis	5.912	0.0
GO:0003684: [MF] damaged DNA binding	205.682	0.0
GO:0003684: [MF] damaged DNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	187.038	0.0
GO:0003684: [MF] damaged DNA binding|g__Zymomonas.s__Zymomonas_mobilis	18.643	0.0
GO:0003688: [MF] DNA replication origin binding	49.886	0.0
GO:0003688: [MF] DNA replication origin binding|g__Lactobacillus.s__Lactobacillus_kunkeei	42.653	0.0
GO:0003688: [MF] DNA replication origin binding|g__Zymomonas.s__Zymomonas_mobilis	7.234	0.0
GO:0003690: [MF] double-stranded DNA binding	39.329	0.0
GO:0003690: [MF] double-stranded DNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	39.329	0.0
GO:0003697: [MF] single-stranded DNA binding	128.89	4.975
GO:0003697: [MF] single-stranded DNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	124.54	4.975
GO:0003697: [MF] single-stranded DNA binding|g__Zymomonas.s__Zymomonas_mobilis	4.35	0.0
GO:0003700: [MF] transcription factor activity, sequence-specific DNA binding	914.058	0.0
GO:0003700: [MF] transcription factor activity, sequence-specific DNA binding|g__Acetobacter.s__Acetobacter_orientalis	32.284	0.0
GO:0003700: [MF] transcription factor activity, sequence-specific DNA binding|g__Acinetobacter.s__Acinetobacter_boissieri	15.138	0.0
GO:0003700: [MF] transcription factor activity, sequence-specific DNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	723.845	0.0
GO:0003700: [MF] transcription factor activity, sequence-specific DNA binding|g__Zymomonas.s__Zymomonas_mobilis	142.791	0.0
GO:0003723: [MF] RNA binding	1309.983	6.18
GO:0003723: [MF] RNA binding|g__Acetobacter.s__Acetobacter_orientalis	3.972	0.0
GO:0003723: [MF] RNA binding|g__Acinetobacter.s__Acinetobacter_boissieri	3.085	0.0
GO:0003723: [MF] RNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	1179.93	6.18
GO:0003723: [MF] RNA binding|g__Zymomonas.s__Zymomonas_mobilis	122.997	0.0
GO:0003725: [MF] double-stranded RNA binding	25.522	0.0
GO:0003725: [MF] double-stranded RNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	25.522	0.0
GO:0003729: [MF] mRNA binding	46.034	0.0
GO:0003729: [MF] mRNA binding|g__Lactobacillus.s__Lactobacillus_kunkeei	38.179	0.0
GO:0003729: [MF] mRNA binding|g__Zymomonas.s__Zymomonas_mobilis	7.854	0.0
GO:0003735: [MF] structural constituent of ribosome	2956.592	34.052
GO:0003735: [MF] structural constituent of ribosome|g__Acetobacter.s__Acetobacter_orientalis	264.144	0.0
GO:0003735: [MF] structural constituent of ribosome|g__Acinetobacter.s__Acinetobacter_boissieri	192.049	0.0
GO:0003735: [MF] structural constituent of ribosome|g__Lactobacillus.s__Lactobacillus_kunkeei	2253.535	34.052
GO:0003735: [MF] structural constituent of ribosome|g__Zymomonas.s__Zymomonas_mobilis	246.864	0.0
GO:0003743: [MF] translation initiation factor activity	225.877	0.0
GO:0003743: [MF] translation initiation factor activity|g__Lactobacillus.s__Lactobacillus_kunkeei	225.877	0.0
GO:0003746: [MF] translation elongation factor activity	252.899	0.0
GO:0003746: [MF] translation elongation factor activity|g__Acinetobacter.s__Acinetobacter_boissieri	6.225	0.0
GO:0003746: [MF] translation elongation factor activity|g__Lactobacillus.s__Lactobacillus_kunkeei	206.265	0.0
GO:0003746: [MF] translation elongation factor activity|g__Zymomonas.s__Zymomonas_mobilis	40.409	0.0
GO:0003747: [MF] translation release factor activity	4.288	0.0
GO:0003747: [MF] translation release factor activity|g__Zymomonas.s__Zymomonas_mobilis	4.288	0.0
GO:0003755: [MF] peptidyl-prolyl cis-trans isomerase activity	131.022	0.0
GO:0003755: [MF] peptidyl-prolyl cis-trans isomerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	105.051	0.0
GO:0003755: [MF] peptidyl-prolyl cis-trans isomerase activity|g__Zymomonas.s__Zymomonas_mobilis	25.971	0.0
GO:0003774: [MF] motor activity	23.87	0.0
GO:0003774: [MF] motor activity|g__Acetobacter.s__Acetobacter_orientalis	6.579	0.0
GO:0003774: [MF] motor activity|g__Zymomonas.s__Zymomonas_mobilis	17.292	0.0
GO:0003796: [MF] lysozyme activity	137.037	0.0
GO:0003796: [MF] lysozyme activity|g__Lactobacillus.s__Lactobacillus_kunkeei	137.037	0.0
GO:0003824: [MF] catalytic activity	332.245	0.0
GO:0003824: [MF] catalytic activity|g__Acinetobacter.s__Acinetobacter_boissieri	3.824	0.0
GO:0003824: [MF] catalytic activity|g__Lactobacillus.s__Lactobacillus_kunkeei	255.668	0.0
GO:0003824: [MF] catalytic activity|g__Zymomonas.s__Zymomonas_mobilis	72.753	0.0
GO:0003848: [MF] 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity	8.679	0.0
GO:0003848: [MF] 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity|g__Zymomonas.s__Zymomonas_mobilis	8.679	0.0
GO:0003849: [MF] 3-deoxy-7-phosphoheptulonate synthase activity	4.4	0.0
GO:0003849: [MF] 3-deoxy-7-phosphoheptulonate synthase activity|g__Zymomonas.s__Zymomonas_mobilis	4.4	0.0
GO:0003852: [MF] 2-isopropylmalate synthase activity	5.345	0.0
GO:0003852: [MF] 2-isopropylmalate synthase activity|g__Zymomonas.s__Zymomonas_mobilis	5.345	0.0
GO:0003855: [MF] 3-dehydroquinate dehydratase activity	16.835	0.0
GO:0003855: [MF] 3-dehydroquinate dehydratase activity|g__Zymomonas.s__Zymomonas_mobilis	16.835	0.0
GO:0003861: [MF] 3-isopropylmalate dehydratase activity	13.923	0.0
GO:0003861: [MF] 3-isopropylmalate dehydratase activity|g__Zymomonas.s__Zymomonas_mobilis	13.923	0.0
GO:0003862: [MF] 3-isopropylmalate dehydrogenase activity	4.733	0.0
GO:0003862: [MF] 3-isopropylmalate dehydrogenase activity|g__Zymomonas.s__Zymomonas_mobilis	4.733	0.0
GO:0003864: [MF] 3-methyl-2-oxobutanoate hydroxymethyltransferase activity	6.394	0.0
GO:0003864: [MF] 3-methyl-2-oxobutanoate hydroxymethyltransferase activity|g__Zymomonas.s__Zymomonas_mobilis	6.394	0.0
GO:0003870: [MF] 5-aminolevulinate synthase activity	3.027	0.0
GO:0003870: [MF] 5-aminolevulinate synthase activity|g__Zymomonas.s__Zymomonas_mobilis	3.027	0.0
GO:0003871: [MF] 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	14.5	0.0
GO:0003871: [MF] 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	9.23	0.0
GO:0003871: [MF] 5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity|g__Zymomonas.s__Zymomonas_mobilis	5.269	0.0
GO:0003879: [MF] ATP phosphoribosyltransferase activity	10.963	0.0
GO:0003879: [MF] ATP phosphoribosyltransferase activity|g__Zymomonas.s__Zymomonas_mobilis	10.963	0.0
GO:0003882: [MF] CDP-diacylglycerol-serine O-phosphatidyltransferase activity	6.751	0.0
GO:0003882: [MF] CDP-diacylglycerol-serine O-phosphatidyltransferase activity|g__Zymomonas.s__Zymomonas_mobilis	6.751	0.0
GO:0003883: [MF] CTP synthase activity	25.323	0.0
GO:0003883: [MF] CTP synthase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	18.314	0.0
GO:0003883: [MF] CTP synthase activity|g__Zymomonas.s__Zymomonas_mobilis	7.009	0.0
GO:0003886: [MF] DNA (cytosine-5-)-methyltransferase activity	6.304	0.0
GO:0003886: [MF] DNA (cytosine-5-)-methyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	6.304	0.0
GO:0003887: [MF] DNA-directed DNA polymerase activity	263.823	4.204
GO:0003887: [MF] DNA-directed DNA polymerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	228.702	4.204
GO:0003887: [MF] DNA-directed DNA polymerase activity|g__Zymomonas.s__Zymomonas_mobilis	35.121	0.0
GO:0003896: [MF] DNA primase activity	31.552	0.0
GO:0003896: [MF] DNA primase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	28.034	0.0
GO:0003896: [MF] DNA primase activity|g__Zymomonas.s__Zymomonas_mobilis	3.518	0.0
GO:0003899: [MF] DNA-directed RNA polymerase activity	252.326	0.0
GO:0003899: [MF] DNA-directed RNA polymerase activity|g__Acetobacter.s__Acetobacter_orientalis	6.897	0.0
GO:0003899: [MF] DNA-directed RNA polymerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	214.322	0.0
GO:0003899: [MF] DNA-directed RNA polymerase activity|g__Zymomonas.s__Zymomonas_mobilis	31.108	0.0
GO:0003904: [MF] deoxyribodipyrimidine photo-lyase activity	7.39	0.0
GO:0003904: [MF] deoxyribodipyrimidine photo-lyase activity|g__Zymomonas.s__Zymomonas_mobilis	7.39	0.0
GO:0003911: [MF] DNA ligase (NAD+) activity	38.919	0.0
GO:0003911: [MF] DNA ligase (NAD+) activity|g__Lactobacillus.s__Lactobacillus_kunkeei	29.498	0.0
GO:0003911: [MF] DNA ligase (NAD+) activity|g__Zymomonas.s__Zymomonas_mobilis	9.421	0.0
GO:0003917: [MF] DNA topoisomerase type I activity	19.856	0.0
GO:0003917: [MF] DNA topoisomerase type I activity|g__Lactobacillus.s__Lactobacillus_kunkeei	19.856	0.0
GO:0003918: [MF] DNA topoisomerase type II (ATP-hydrolyzing) activity	141.462	0.0
GO:0003918: [MF] DNA topoisomerase type II (ATP-hydrolyzing) activity|g__Lactobacillus.s__Lactobacillus_kunkeei	117.342	0.0
GO:0003918: [MF] DNA topoisomerase type II (ATP-hydrolyzing) activity|g__Zymomonas.s__Zymomonas_mobilis	24.12	0.0
GO:0003919: [MF] FMN adenylyltransferase activity	25.458	0.0
GO:0003919: [MF] FMN adenylyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	25.458	0.0
GO:0003920: [MF] GMP reductase activity	40.58	0.0
GO:0003920: [MF] GMP reductase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	40.58	0.0
GO:0003922: [MF] GMP synthase (glutamine-hydrolyzing) activity	30.054	0.0
GO:0003922: [MF] GMP synthase (glutamine-hydrolyzing) activity|g__Lactobacillus.s__Lactobacillus_kunkeei	23.564	0.0
GO:0003922: [MF] GMP synthase (glutamine-hydrolyzing) activity|g__Zymomonas.s__Zymomonas_mobilis	6.49	0.0
GO:0003924: [MF] GTPase activity	452.189	0.0
GO:0003924: [MF] GTPase activity|g__Acinetobacter.s__Acinetobacter_boissieri	6.225	0.0
GO:0003924: [MF] GTPase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	400.842	0.0
GO:0003924: [MF] GTPase activity|g__Zymomonas.s__Zymomonas_mobilis	45.122	0.0
GO:0003937: [MF] IMP cyclohydrolase activity	23.062	0.0
GO:0003937: [MF] IMP cyclohydrolase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	23.062	0.0
GO:0003938: [MF] IMP dehydrogenase activity	3.883	0.0
GO:0003938: [MF] IMP dehydrogenase activity|g__Zymomonas.s__Zymomonas_mobilis	3.883	0.0
GO:0003951: [MF] NAD+ kinase activity	97.384	0.0
GO:0003951: [MF] NAD+ kinase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	83.772	0.0
GO:0003951: [MF] NAD+ kinase activity|g__Zymomonas.s__Zymomonas_mobilis	13.612	0.0
GO:0003952: [MF] NAD+ synthase (glutamine-hydrolyzing) activity	25.724	0.0
GO:0003952: [MF] NAD+ synthase (glutamine-hydrolyzing) activity|g__Lactobacillus.s__Lactobacillus_kunkeei	25.724	0.0
GO:0003955: [MF] NAD(P)H dehydrogenase (quinone) activity	9.284	0.0
GO:0003955: [MF] NAD(P)H dehydrogenase (quinone) activity|g__Zymomonas.s__Zymomonas_mobilis	9.284	0.0
GO:0003960: [MF] NADPH:quinone reductase activity	12.061	0.0
GO:0003960: [MF] NADPH:quinone reductase activity|g__Zymomonas.s__Zymomonas_mobilis	12.061	0.0
GO:0003977: [MF] UDP-N-acetylglucosamine diphosphorylase activity	35.186	0.0
GO:0003977: [MF] UDP-N-acetylglucosamine diphosphorylase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	29.987	0.0
GO:0003977: [MF] UDP-N-acetylglucosamine diphosphorylase activity|g__Zymomonas.s__Zymomonas_mobilis	5.199	0.0
GO:0003978: [MF] UDP-glucose 4-epimerase activity	28.932	0.0
GO:0003978: [MF] UDP-glucose 4-epimerase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	24.022	0.0
GO:0003978: [MF] UDP-glucose 4-epimerase activity|g__Zymomonas.s__Zymomonas_mobilis	4.909	0.0
GO:0003979: [MF] UDP-glucose 6-dehydrogenase activity	7.033	0.0
GO:0003979: [MF] UDP-glucose 6-dehydrogenase activity|g__Zymomonas.s__Zymomonas_mobilis	7.033	0.0
GO:0003983: [MF] UTP:glucose-1-phosphate uridylyltransferase activity	35.307	0.0
GO:0003983: [MF] UTP:glucose-1-phosphate uridylyltransferase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	27.967	0.0
GO:0003983: [MF] UTP:glucose-1-phosphate uridylyltransferase activity|g__Zymomonas.s__Zymomonas_mobilis	7.339	0.0
GO:0003984: [MF] acetolactate synthase activity	29.355	0.0
GO:0003984: [MF] acetolactate synthase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	13.489	0.0
GO:0003984: [MF] acetolactate synthase activity|g__Zymomonas.s__Zymomonas_mobilis	15.867	0.0
GO:0003989: [MF] acetyl-CoA carboxylase activity	98.116	0.0
GO:0003989: [MF] acetyl-CoA carboxylase activity|g__Lactobacillus.s__Lactobacillus_kunkeei	91.467	0.0
GO:0003989: [MF] acetyl-CoA carboxylase activity|g__Zymomonas.s__Zymomonas_mobilis	6.65	0.0
GO:0003991: [MF] acetylglutamate kinase activity	11.43	0.0
GO:0003991: [MF] acetylglutamate kinase activity|g__Zymomonas.s__Zymomonas_mobilis	11.43	0.0
GO:0003992: [MF] N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	9.004	0.0
GO:0003992: [MF] N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity|g__Zymomonas.s__Zymomonas_mobilis	9.004	0.0
GO:0003993: [MF] acid phosphatase activity	21.859	0.0
GO:0003993: [MF] acid phosphatase activity|g__Zymomonas.s__Zymomonas_mobilis	21.859	0.0
GO:0003995: [MF] acyl-CoA dehydrogenase activity	9.014	0.0
