"GO_description"	"Species"	"Frequency"
"79"	"glutamine metabolic process"	"Enterobacter sp. SA187"	0
"80"	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	"Enterobacter sp. SA187"	0
"81"	"glycolytic process"	"Enterobacter sp. SA187"	0
"82"	"Gram-negative-bacterium-type cell wall"	"Enterobacter sp. SA187"	0
"83"	"GTP binding"	"Enterobacter sp. SA187"	6.25866563972087
"84"	"GTPase activity"	"Enterobacter sp. SA187"	0
"85"	"helicase activity"	"Enterobacter sp. SA187"	0
"86"	"histidine biosynthetic process"	"Enterobacter sp. SA187"	0
"87"	"hydrolase activity"	"Enterobacter sp. SA187"	14.1728044470201
"88"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"Enterobacter sp. SA187"	11.361451589223
"89"	"imidazoleglycerol-phosphate synthase activity"	"Enterobacter sp. SA187"	0
"90"	"inorganic phosphate transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"91"	"integral component of membrane"	"Enterobacter sp. SA187"	139.621410716091
"92"	"integral component of plasma membrane"	"Enterobacter sp. SA187"	11.7596957145157
"93"	"iron ion binding"	"Enterobacter sp. SA187"	6.5193311556036
"94"	"isoleucine biosynthetic process"	"Enterobacter sp. SA187"	5.98183341579159
"95"	"isomerase activity"	"Enterobacter sp. SA187"	5.85975518281625
"96"	"kinase activity"	"Enterobacter sp. SA187"	11.9125572451709
"97"	"lipid A biosynthetic process"	"Enterobacter sp. SA187"	0
"98"	"lipoteichoic acid biosynthetic process"	"Enterobacter sp. SA187"	0
"99"	"lyase activity"	"Enterobacter sp. SA187"	0
"100"	"magnesium ion binding"	"Enterobacter sp. SA187"	10.1121207639741
"101"	"membrane"	"Enterobacter sp. SA187"	16.56242201756
"102"	"menaquinone biosynthetic process"	"Enterobacter sp. SA187"	0
"103"	"metal ion binding"	"Enterobacter sp. SA187"	27.6568783444358
"104"	"metal ion transport"	"Enterobacter sp. SA187"	0
"105"	"metalloendopeptidase activity"	"Enterobacter sp. SA187"	0
"106"	"methionine biosynthetic process"	"Enterobacter sp. SA187"	0
"107"	"mismatch repair"	"Enterobacter sp. SA187"	0
"108"	"mismatched DNA binding"	"Enterobacter sp. SA187"	0
"109"	"Mo-molybdopterin cofactor biosynthetic process"	"Enterobacter sp. SA187"	0
"110"	"NAD binding"	"Enterobacter sp. SA187"	5.67663783335324
"111"	"NADH dehydrogenase (ubiquinone) activity"	"Enterobacter sp. SA187"	0
"112"	"NADP binding"	"Enterobacter sp. SA187"	6.40190766398332
"113"	"negative regulation of transcription, DNA-templated"	"Enterobacter sp. SA187"	0
"114"	"negative regulation of translational elongation"	"Enterobacter sp. SA187"	0
"115"	"nickel cation transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"116"	"nitrogen compound transport"	"Enterobacter sp. SA187"	0
"117"	"novo' IMP biosynthetic process"	"Enterobacter sp. SA187"	0
"118"	"novo' pyrimidine nucleobase biosynthetic process"	"Enterobacter sp. SA187"	0
"119"	"novo' UMP biosynthetic process"	"Enterobacter sp. SA187"	0
"120"	"nucleic acid binding"	"Enterobacter sp. SA187"	5.85975518281625
"121"	"nucleotide binding"	"Enterobacter sp. SA187"	0
"122"	"outer membrane-bounded periplasmic space"	"Enterobacter sp. SA187"	0
"123"	"oxidoreductase activity"	"Enterobacter sp. SA187"	11.8155526107763
"124"	"oxidoreductase activity, acting on CH-OH group of donors"	"Enterobacter sp. SA187"	0
"125"	"penicillin binding"	"Enterobacter sp. SA187"	0
"126"	"pentose-phosphate shunt"	"Enterobacter sp. SA187"	0
"127"	"pentose-phosphate shunt, non-oxidative branch"	"Enterobacter sp. SA187"	0
"128"	"peptidase activity"	"Enterobacter sp. SA187"	7.751967793934
"129"	"peptidoglycan biosynthetic process"	"Enterobacter sp. SA187"	6.17408907702194
"130"	"peptidoglycan glycosyltransferase activity"	"Enterobacter sp. SA187"	0
"131"	"peptidoglycan metabolic process"	"Enterobacter sp. SA187"	0
"132"	"periplasmic space"	"Enterobacter sp. SA187"	7.41454532993959
"133"	"phosphate ion binding"	"Enterobacter sp. SA187"	0
"134"	"phosphate ion transmembrane transport"	"Enterobacter sp. SA187"	0
"135"	"phosphate ion transport"	"Enterobacter sp. SA187"	0
"136"	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	"Enterobacter sp. SA187"	20.2333335554688
"137"	"phosphogluconate dehydrogenase (decarboxylating) activity"	"Enterobacter sp. SA187"	0
"138"	"phosphoglycerate mutase activity"	"Enterobacter sp. SA187"	0
"139"	"phosphorelay sensor kinase activity"	"Enterobacter sp. SA187"	7.88186564149659
"140"	"phosphorelay signal transduction system"	"Enterobacter sp. SA187"	5.13097813706846
"141"	"plasma membrane"	"Enterobacter sp. SA187"	51.0012750792523
"142"	"plasmid maintenance"	"Enterobacter sp. SA187"	0
"143"	"positive regulation of proteolysis"	"Enterobacter sp. SA187"	0
"144"	"potassium ion transport"	"Enterobacter sp. SA187"	0
"145"	"protein dimerization activity"	"Enterobacter sp. SA187"	0
"146"	"protein folding"	"Enterobacter sp. SA187"	0
"147"	"protein secretion by the type II secretion system"	"Enterobacter sp. SA187"	5.04640157436953
"148"	"protein transporter activity"	"Enterobacter sp. SA187"	6.25866563972087
"149"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	"Enterobacter sp. SA187"	13.239126213157
"150"	"pyridoxal phosphate binding"	"Enterobacter sp. SA187"	9.03378924017506
"151"	"quinone binding"	"Enterobacter sp. SA187"	0
"152"	"quinoprotein glucose dehydrogenase activity"	"Enterobacter sp. SA187"	0
"153"	"regulation of cell shape"	"Enterobacter sp. SA187"	5.32832345003263
"154"	"regulation of gene expression"	"Enterobacter sp. SA187"	0
"155"	"regulation of transcription, DNA-templated"	"Enterobacter sp. SA187"	16.3415392583846
"156"	"respiratory chain"	"Enterobacter sp. SA187"	0
"157"	"response to arsenic-containing substance"	"Enterobacter sp. SA187"	0
"158"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	"Enterobacter sp. SA187"	0
"159"	"ribose-5-phosphate isomerase activity"	"Enterobacter sp. SA187"	0
"160"	"ribosome"	"Enterobacter sp. SA187"	0
"161"	"RNA binding"	"Enterobacter sp. SA187"	5.44109220029787
"162"	"RNA methyltransferase activity"	"Enterobacter sp. SA187"	0
"163"	"RNA processing"	"Enterobacter sp. SA187"	0
"164"	"rRNA binding"	"Enterobacter sp. SA187"	0
"165"	"rRNA processing"	"Enterobacter sp. SA187"	0
"166"	"sequence-specific DNA binding"	"Enterobacter sp. SA187"	12.9684062805027
"167"	"serine-type D-Ala-D-Ala carboxypeptidase activity"	"Enterobacter sp. SA187"	0
"168"	"serine-type endopeptidase activity"	"Enterobacter sp. SA187"	0
"169"	"siderophore transport"	"Enterobacter sp. SA187"	5.43248136740257
"170"	"signal transduction"	"Enterobacter sp. SA187"	9.11248493283211
"171"	"signaling receptor activity"	"Enterobacter sp. SA187"	5.43248136740257
"172"	"single-stranded DNA binding"	"Enterobacter sp. SA187"	0
"173"	"sorbitol-6-phosphate 2-dehydrogenase activity"	"Enterobacter sp. SA187"	0
"174"	"SOS response"	"Enterobacter sp. SA187"	0
"175"	"structural constituent of ribosome"	"Enterobacter sp. SA187"	0
"176"	"sugar:proton symporter activity"	"Enterobacter sp. SA187"	5.58240246303682
"177"	"thiamine biosynthetic process"	"Enterobacter sp. SA187"	0
"178"	"thiamine pyrophosphate binding"	"Enterobacter sp. SA187"	0
"179"	"thiamine transmembrane transport"	"Enterobacter sp. SA187"	0
"180"	"thiamine transport"	"Enterobacter sp. SA187"	0
"181"	"thiamine-transporting ATPase activity"	"Enterobacter sp. SA187"	0
"182"	"transaminase activity"	"Enterobacter sp. SA187"	0
"183"	"transcription factor activity, sequence-specific DNA binding"	"Enterobacter sp. SA187"	21.8259284135293
"184"	"transcription factor binding"	"Enterobacter sp. SA187"	0
"185"	"transcription, DNA-templated"	"Enterobacter sp. SA187"	0
"186"	"transferase activity"	"Enterobacter sp. SA187"	14.8101153865297
"187"	"translation"	"Enterobacter sp. SA187"	0
"188"	"translation elongation factor activity"	"Enterobacter sp. SA187"	0
"189"	"transmembrane signaling receptor activity"	"Enterobacter sp. SA187"	7.22180847408383
"190"	"transmembrane transport"	"Enterobacter sp. SA187"	26.446809780044
"191"	"transmembrane transporter activity"	"Enterobacter sp. SA187"	13.2568683747977
"192"	"transporter activity"	"Enterobacter sp. SA187"	6.77534193013129
"193"	"transposase activity"	"Enterobacter sp. SA187"	0
"194"	"transposition, DNA-mediated"	"Enterobacter sp. SA187"	0
"195"	"tricarboxylic acid cycle"	"Enterobacter sp. SA187"	0
"196"	"tRNA binding"	"Enterobacter sp. SA187"	0
"197"	"type II protein secretion system complex"	"Enterobacter sp. SA187"	5.04640157436953
"198"	"UDP-glucose 4-epimerase activity"	"Enterobacter sp. SA187"	0
"199"	"UDP-glucose metabolic process"	"Enterobacter sp. SA187"	7.92200470613317
"200"	"unfolded protein binding"	"Enterobacter sp. SA187"	0
"201"	"uracil transmembrane transporter activity"	"Enterobacter sp. SA187"	0
"202"	"valine-tRNA ligase activity"	"Enterobacter sp. SA187"	0
"203"	"valyl-tRNA aminoacylation"	"Enterobacter sp. SA187"	0
"204"	"zinc ion binding"	"Enterobacter sp. SA187"	11.6243981915367
"205"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	"Klebsiella oxytoca"	0
"206"	"3'-5' exonuclease activity"	"Klebsiella oxytoca"	0
"207"	"3'-tRNA processing endoribonuclease activity"	"Klebsiella oxytoca"	0
"208"	"4 iron, 4 sulfur cluster binding"	"Klebsiella oxytoca"	0
"209"	"acetyltransferase activity"	"Klebsiella oxytoca"	0
"210"	"acid phosphatase activity"	"Klebsiella oxytoca"	0
"211"	"alcohol dehydrogenase (NAD) activity"	"Klebsiella oxytoca"	0
"212"	"aldose 1-epimerase activity"	"Klebsiella oxytoca"	0
"213"	"amino acid-transporting ATPase activity"	"Klebsiella oxytoca"	0
"214"	"aminoacyl-tRNA editing activity"	"Klebsiella oxytoca"	0
"215"	"aminopeptidase activity"	"Klebsiella oxytoca"	0
"216"	"antiporter activity"	"Klebsiella oxytoca"	0
"217"	"arginine biosynthetic process via ornithine"	"Klebsiella oxytoca"	0
"218"	"argininosuccinate lyase activity"	"Klebsiella oxytoca"	0
"219"	"aromatic amino acid family biosynthetic process"	"Klebsiella oxytoca"	0
"220"	"arsenite transmembrane transporter activity"	"Klebsiella oxytoca"	0
"221"	"ATP binding"	"Klebsiella oxytoca"	8.36235895881069
"222"	"ATP phosphoribosyltransferase activity"	"Klebsiella oxytoca"	0
"223"	"ATP-binding cassette (ABC) transporter complex"	"Klebsiella oxytoca"	0
"224"	"ATP-dependent DNA helicase activity"	"Klebsiella oxytoca"	0
"225"	"ATPase activity"	"Klebsiella oxytoca"	0
"226"	"ATPase activity, coupled to transmembrane movement of substances"	"Klebsiella oxytoca"	0
"227"	"bacterial-type flagellum-dependent cell motility"	"Klebsiella oxytoca"	0
"228"	"barrier septum assembly"	"Klebsiella oxytoca"	0
"229"	"beta-ketoacyl-acyl-carrier-protein synthase III activity"	"Klebsiella oxytoca"	0
"230"	"biosynthetic process"	"Klebsiella oxytoca"	0
"231"	"biotin biosynthetic process"	"Klebsiella oxytoca"	0
"232"	"carbohydrate binding"	"Klebsiella oxytoca"	0
"233"	"carbohydrate metabolic process"	"Klebsiella oxytoca"	0
"234"	"carbohydrate transmembrane transporter activity"	"Klebsiella oxytoca"	0
"235"	"carboxypeptidase activity"	"Klebsiella oxytoca"	0
"236"	"catalytic activity"	"Klebsiella oxytoca"	0
"237"	"cation transmembrane transporter activity"	"Klebsiella oxytoca"	0
"238"	"cell adhesion"	"Klebsiella oxytoca"	0
"239"	"cell cycle"	"Klebsiella oxytoca"	0
"240"	"cell division"	"Klebsiella oxytoca"	0
"241"	"cell morphogenesis"	"Klebsiella oxytoca"	0
"242"	"cell outer membrane"	"Klebsiella oxytoca"	0
"243"	"cell wall organization"	"Klebsiella oxytoca"	0
"244"	"cellular response to starvation"	"Klebsiella oxytoca"	0
"245"	"cellulose biosynthetic process"	"Klebsiella oxytoca"	0
"246"	"chemotaxis"	"Klebsiella oxytoca"	0
"247"	"chromosome"	"Klebsiella oxytoca"	0
"248"	"chromosome segregation"	"Klebsiella oxytoca"	0
"249"	"coenzyme binding"	"Klebsiella oxytoca"	0
"250"	"conjugation"	"Klebsiella oxytoca"	0
"251"	"copper ion binding"	"Klebsiella oxytoca"	0
"252"	"cytochrome o ubiquinol oxidase activity"	"Klebsiella oxytoca"	0
"253"	"cytochrome-c oxidase activity"	"Klebsiella oxytoca"	0
"254"	"cytoplasm"	"Klebsiella oxytoca"	0
"255"	"D-gluconate metabolic process"	"Klebsiella oxytoca"	0
"256"	"damaged DNA binding"	"Klebsiella oxytoca"	0
"257"	"DNA binding"	"Klebsiella oxytoca"	0
"258"	"DNA helicase activity"	"Klebsiella oxytoca"	0
"259"	"DNA integration"	"Klebsiella oxytoca"	0
"260"	"DNA ligase (NAD+) activity"	"Klebsiella oxytoca"	0
"261"	"DNA recombination"	"Klebsiella oxytoca"	0
"262"	"DNA repair"	"Klebsiella oxytoca"	0
"263"	"DNA replication"	"Klebsiella oxytoca"	0
"264"	"DNA topoisomerase type II (ATP-hydrolyzing) activity"	"Klebsiella oxytoca"	0
"265"	"DNA topological change"	"Klebsiella oxytoca"	0
"266"	"DNA unwinding involved in DNA replication"	"Klebsiella oxytoca"	0
"267"	"DNA-dependent DNA replication"	"Klebsiella oxytoca"	0
"268"	"DNA-directed DNA polymerase activity"	"Klebsiella oxytoca"	0
"269"	"DNA-directed RNA polymerase activity"	"Klebsiella oxytoca"	0
"270"	"double-strand break repair via homologous recombination"	"Klebsiella oxytoca"	0
"271"	"drug transmembrane transporter activity"	"Klebsiella oxytoca"	0
"272"	"electron carrier activity"	"Klebsiella oxytoca"	0
"273"	"endoribonuclease activity"	"Klebsiella oxytoca"	0
"274"	"exodeoxyribonuclease V activity"	"Klebsiella oxytoca"	0
"275"	"fatty acid biosynthetic process"	"Klebsiella oxytoca"	0
"276"	"flavin adenine dinucleotide binding"	"Klebsiella oxytoca"	0
"277"	"FtsZ-dependent cytokinesis"	"Klebsiella oxytoca"	0
"278"	"galactose binding"	"Klebsiella oxytoca"	0
"279"	"galactose metabolic process"	"Klebsiella oxytoca"	0
"280"	"galactose transport"	"Klebsiella oxytoca"	0
"281"	"glutamate-ammonia ligase activity"	"Klebsiella oxytoca"	0
"282"	"glutamine biosynthetic process"	"Klebsiella oxytoca"	0
"283"	"glutamine metabolic process"	"Klebsiella oxytoca"	0
"284"	"glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity"	"Klebsiella oxytoca"	0
"285"	"glycolytic process"	"Klebsiella oxytoca"	0
"286"	"Gram-negative-bacterium-type cell wall"	"Klebsiella oxytoca"	0
"287"	"GTP binding"	"Klebsiella oxytoca"	0
"288"	"GTPase activity"	"Klebsiella oxytoca"	0
"289"	"helicase activity"	"Klebsiella oxytoca"	0
"290"	"histidine biosynthetic process"	"Klebsiella oxytoca"	0
"291"	"hydrolase activity"	"Klebsiella oxytoca"	0
"292"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	"Klebsiella oxytoca"	0
"293"	"imidazoleglycerol-phosphate synthase activity"	"Klebsiella oxytoca"	0
"294"	"inorganic phosphate transmembrane transporter activity"	"Klebsiella oxytoca"	0
"295"	"integral component of membrane"	"Klebsiella oxytoca"	5.16676550101075
"296"	"integral component of plasma membrane"	"Klebsiella oxytoca"	0
"297"	"iron ion binding"	"Klebsiella oxytoca"	0
"298"	"isoleucine biosynthetic process"	"Klebsiella oxytoca"	0
"299"	"isomerase activity"	"Klebsiella oxytoca"	0
"300"	"kinase activity"	"Klebsiella oxytoca"	0
"301"	"lipid A biosynthetic process"	"Klebsiella oxytoca"	0
"302"	"lipoteichoic acid biosynthetic process"	"Klebsiella oxytoca"	0
"303"	"lyase activity"	"Klebsiella oxytoca"	0
"304"	"magnesium ion binding"	"Klebsiella oxytoca"	0
"305"	"membrane"	"Klebsiella oxytoca"	0
"306"	"menaquinone biosynthetic process"	"Klebsiella oxytoca"	0
"307"	"metal ion binding"	"Klebsiella oxytoca"	0
"308"	"metal ion transport"	"Klebsiella oxytoca"	0
"309"	"metalloendopeptidase activity"	"Klebsiella oxytoca"	0
"310"	"methionine biosynthetic process"	"Klebsiella oxytoca"	0
"311"	"mismatch repair"	"Klebsiella oxytoca"	0
"312"	"mismatched DNA binding"	"Klebsiella oxytoca"	0
"313"	"Mo-molybdopterin cofactor biosynthetic process"	"Klebsiella oxytoca"	0
"314"	"NAD binding"	"Klebsiella oxytoca"	0
"315"	"NADH dehydrogenase (ubiquinone) activity"	"Klebsiella oxytoca"	0
"316"	"NADP binding"	"Klebsiella oxytoca"	0
"317"	"negative regulation of transcription, DNA-templated"	"Klebsiella oxytoca"	0
"318"	"negative regulation of translational elongation"	"Klebsiella oxytoca"	0
"319"	"nickel cation transmembrane transporter activity"	"Klebsiella oxytoca"	0
"320"	"nitrogen compound transport"	"Klebsiella oxytoca"	0
"321"	"novo' IMP biosynthetic process"	"Klebsiella oxytoca"	0
"322"	"novo' pyrimidine nucleobase biosynthetic process"	"Klebsiella oxytoca"	0
"323"	"novo' UMP biosynthetic process"	"Klebsiella oxytoca"	0
"324"	"nucleic acid binding"	"Klebsiella oxytoca"	0
"325"	"nucleotide binding"	"Klebsiella oxytoca"	0
"326"	"outer membrane-bounded periplasmic space"	"Klebsiella oxytoca"	0
"327"	"oxidoreductase activity"	"Klebsiella oxytoca"	0
"328"	"oxidoreductase activity, acting on CH-OH group of donors"	"Klebsiella oxytoca"	0
"329"	"penicillin binding"	"Klebsiella oxytoca"	0
"330"	"pentose-phosphate shunt"	"Klebsiella oxytoca"	0
"331"	"pentose-phosphate shunt, non-oxidative branch"	"Klebsiella oxytoca"	0
"332"	"peptidase activity"	"Klebsiella oxytoca"	0
"333"	"peptidoglycan biosynthetic process"	"Klebsiella oxytoca"	0
"334"	"peptidoglycan glycosyltransferase activity"	"Klebsiella oxytoca"	0
"335"	"peptidoglycan metabolic process"	"Klebsiella oxytoca"	0
"336"	"periplasmic space"	"Klebsiella oxytoca"	0
"337"	"phosphate ion binding"	"Klebsiella oxytoca"	0
"338"	"phosphate ion transmembrane transport"	"Klebsiella oxytoca"	0
"339"	"phosphate ion transport"	"Klebsiella oxytoca"	0
"340"	"phosphoenolpyruvate-dependent sugar phosphotransferase system"	"Klebsiella oxytoca"	0
"341"	"phosphogluconate dehydrogenase (decarboxylating) activity"	"Klebsiella oxytoca"	0
"342"	"phosphoglycerate mutase activity"	"Klebsiella oxytoca"	0
"343"	"phosphorelay sensor kinase activity"	"Klebsiella oxytoca"	0
"344"	"phosphorelay signal transduction system"	"Klebsiella oxytoca"	0
"345"	"plasma membrane"	"Klebsiella oxytoca"	0
"346"	"plasmid maintenance"	"Klebsiella oxytoca"	0
"347"	"positive regulation of proteolysis"	"Klebsiella oxytoca"	0
"348"	"potassium ion transport"	"Klebsiella oxytoca"	0
"349"	"protein dimerization activity"	"Klebsiella oxytoca"	0
"350"	"protein folding"	"Klebsiella oxytoca"	0
"351"	"protein secretion by the type II secretion system"	"Klebsiella oxytoca"	0
"352"	"protein transporter activity"	"Klebsiella oxytoca"	0
"353"	"protein-N(PI)-phosphohistidine-sugar phosphotransferase activity"	"Klebsiella oxytoca"	0
"354"	"pyridoxal phosphate binding"	"Klebsiella oxytoca"	0
"355"	"quinone binding"	"Klebsiella oxytoca"	0
"356"	"quinoprotein glucose dehydrogenase activity"	"Klebsiella oxytoca"	0
"357"	"regulation of cell shape"	"Klebsiella oxytoca"	0
"358"	"regulation of gene expression"	"Klebsiella oxytoca"	0
"359"	"regulation of transcription, DNA-templated"	"Klebsiella oxytoca"	0
"360"	"respiratory chain"	"Klebsiella oxytoca"	0
"361"	"response to arsenic-containing substance"	"Klebsiella oxytoca"	0
"362"	"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"	"Klebsiella oxytoca"	0
"363"	"ribose-5-phosphate isomerase activity"	"Klebsiella oxytoca"	0
"364"	"ribosome"	"Klebsiella oxytoca"	0
"365"	"RNA binding"	"Klebsiella oxytoca"	0
"366"	"RNA methyltransferase activity"	"Klebsiella oxytoca"	0
"367"	"RNA processing"	"Klebsiella oxytoca"	0
"368"	"rRNA binding"	"Klebsiella oxytoca"	0
"369"	"rRNA processing"	"Klebsiella oxytoca"	0
"370"	"sequence-specific DNA binding"	"Klebsiella oxytoca"	0
"371"	"serine-type D-Ala-D-Ala carboxypeptidase activity"	"Klebsiella oxytoca"	0
"372"	"serine-type endopeptidase activity"	"Klebsiella oxytoca"	0
"373"	"siderophore transport"	"Klebsiella oxytoca"	0
"374"	"signal transduction"	"Klebsiella oxytoca"	0
"375"	"signaling receptor activity"	"Klebsiella oxytoca"	0
"376"	"single-stranded DNA binding"	"Klebsiella oxytoca"	0
"377"	"sorbitol-6-phosphate 2-dehydrogenase activity"	"Klebsiella oxytoca"	0
"378"	"SOS response"	"Klebsiella oxytoca"	0
"379"	"structural constituent of ribosome"	"Klebsiella oxytoca"	0
"380"	"sugar:proton symporter activity"	"Klebsiella oxytoca"	0
"381"	"thiamine biosynthetic process"	"Klebsiella oxytoca"	0
"382"	"thiamine pyrophosphate binding"	"Klebsiella oxytoca"	0
"383"	"thiamine transmembrane transport"	"Klebsiella oxytoca"	0
"384"	"thiamine transport"	"Klebsiella oxytoca"	0
"385"	"thiamine-transporting ATPase activity"	"Klebsiella oxytoca"	0
"386"	"transaminase activity"	"Klebsiella oxytoca"	0
"387"	"transcription factor activity, sequence-specific DNA binding"	"Klebsiella oxytoca"	0
"388"	"transcription factor binding"	"Klebsiella oxytoca"	0
"389"	"transcription, DNA-templated"	"Klebsiella oxytoca"	0
"390"	"transferase activity"	"Klebsiella oxytoca"	0
"391"	"translation"	"Klebsiella oxytoca"	0
"392"	"translation elongation factor activity"	"Klebsiella oxytoca"	0
