"GO_description"	"Enterobacter sp. SA187 - Mean SM/DSM"	"Klebsiella oxytoca - Mean SM/DSM"	"Leuconostoc pseudomesenteroides - Mean SM/DSM"	"Sodalis glossinidius - Mean SM/DSM"	"Sodalis praecaptivus - Mean SM/DSM"	"Enterobacter sp. SA187 - SD SM/DSM"	"Klebsiella oxytoca - SD SM/DSM"	"Leuconostoc pseudomesenteroides - SD SM/DSM"	"Sodalis glossinidius - SD SM/DSM"	"Sodalis praecaptivus - SD SM/DSM"	"term"	"df"	"sumsq"	"meansq"	"statistic"	"p.value"	"significance"
"11"	"1,4-dihydroxy-2-naphthoyl-CoA synthase activity"	0	0	0.902150002121925	0	0	0	0	1.27583276829574	0	0	"Species"	4	1.30219940212574	0.325549850531436	0.999999999999999	0.485657196759214	"not sign."
"12"	"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity"	0.091558674731504	0	0	0	0	0.1294835195582	0	0	0	0	"Species"	4	0.013412785469743	0.00335319636743574	1	0.485657196759213	"not sign."
"13"	"1,6-anhydro-N-acetyl-beta-muramic acid catabolic process"	0.281921875663102	0	0	0	0.0422882813494653	0.39869774009242	0	0	0	0.0598046610138631	"Species"	4	0.120491595069741	0.0301228987674352	0.926650366748166	0.515914573259085	"not sign."
"14"	"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity"	0	0	0.57987160663286	0	0	0	0	0.820062290535267	0	0	"Species"	4	0.538001728286359	0.13450043207159	1	0.485657196759213	"not sign."
"15"	"16S rRNA (guanine(1207)-N(2))-methyltransferase activity"	0	0	0.0446156520269897	0	0	0	0	0.0232262861814455	0	0	"Species"	4	0.00318489024926949	0.000796222562317373	7.37980588489318	0.0250558535535583	"not sign."
"16"	"2 iron, 2 sulfur cluster binding"	1.24278362359517	0	0	0	2.57607096417779	1.67123910921134	0	0	0	0.931969862547292	"Species"	4	10.5278453500906	2.63196133752265	3.5939966107918	0.0965721787330591	"not sign."
"17"	"2-alkenal reductase [NAD(P)] activity"	0	0	0	0	0.0892313040539797	0	0	0	0	0.0464525723628914	"Species"	4	0.012739560997078	0.00318489024926951	7.37980588489312	0.0250558535535587	"not sign."
"18"	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity"	0	0	0	0	0.310114063229412	0	0	0	0	0.438567514101663	"Species"	4	0.15387317154025	0.0384682928850624	1	0.485657196759213	"not sign."
"19"	"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity"	0	0	0.091558674731504	0	0	0	0	0.1294835195582	0	0	"Species"	4	0.013412785469743	0.00335319636743574	1	0.485657196759214	"not sign."
"20"	"2-dehydro-3-deoxygalactonokinase activity"	0	0	0	0	0.713718562713825	0	0	0	0	0.889741149079598	"Species"	4	0.815030698819662	0.203757674704915	1.2869350442948	0.386529595156043	"not sign."
"21"	"2-dehydro-3-deoxyglucarate aldolase activity"	0	0	0	0	0.63432422024198	0	0	0	0	0.897069915207946	"Species"	4	0.643787546216954	0.160946886554238	1	0.485657196759214	"not sign."
"22"	"2-dehydro-3-deoxygluconokinase activity"	0.0563843751326205	0	0.140960937831551	0	0	0.0797395480184842	0	0.19934887004621	0	0	"Species"	4	0.0305202984873222	0.00763007462183055	0.827586206896551	0.560409427945835	"not sign."
"23"	"2-dehydropantoate 2-reductase activity"	0	0	0.704804689157755	0	0	0	0	0.996744350231051	0	0	"Species"	4	0.794799439774015	0.198699859943504	1	0.485657196759214	"not sign."
"24"	"2-deoxy-D-gluconate 3-dehydrogenase activity"	0	0	0.183117349463008	0	0	0	0	0.2589670391164	0	0	"Species"	4	0.0536511418789718	0.013412785469743	1	0.485657196759214	"not sign."
"25"	"2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity"	0.488312931901354	0	0	0	0	0.690578770977065	0	0	0	0	"Species"	4	0.381519231139355	0.0953798077848388	1	0.485657196759213	"not sign."
"26"	"2-hydroxy-3-oxopropionate reductase activity"	0.244156465950677	0	0.0845765626989305	0	0	0.345289385488532	0	0.119609322027726	0	0	"Species"	4	0.0903049879969231	0.0225762469992308	0.845355074786526	0.552110130804694	"not sign."
"27"	"2-iminoacetate synthase activity"	0.699754338648681	0	0	0	0.46956209676315	0.39155546590775	0	0	0	0.544451763591069	"Species"	4	0.873369023898826	0.218342255974706	2.42740919798374	0.178526037227412	"not sign."
"28"	"2-isopropylmalate synthase activity"	0.281921875663102	0.0140960937831551	0.577676105673342	0	1.69100377510658	0.39869774009242	0.019934887004621	0.218910773163484	0	0.319704159848638	"Species"	4	3.91469416347402	0.978673540868506	15.8110707029667	0.00481929070550159	"significant"
"29"	"2-keto-3-deoxygluconate:proton symporter activity"	0.64091072312053	0	0	0	0	0.906384636907401	0	0	0	0	"Species"	4	0.65722648801741	0.164306622004352	1	0.485657196759213	"not sign."
"30"	"2-methylisocitrate dehydratase activity"	0.0140960937831551	0	0	0	0	0.019934887004621	0	0	0	0	"Species"	4	0.000317919775909606	7.94799439774015e-05	0.999999999999998	0.485657196759214	"not sign."
"31"	"2-octaprenylphenol hydroxylase activity"	0.0446156520269897	0	0	0	0	0.0232262861814455	0	0	0	0	"Species"	4	0.0031848902492695	0.000796222562317374	7.37980588489318	0.0250558535535583	"not sign."
"32"	"2-oxoglutarate carboxylase activity"	0	0	0.164366514324804	0	0	0	0	0.112840031730403	0	0	"Species"	4	0.0432261616500575	0.0108065404125144	4.2435594132706	0.0723900398688119	"not sign."
"33"	"2-oxopent-4-enoate hydratase activity"	0	0	0.0305195582438346	0	0	0	0	0.0431611731860666	0	0	"Species"	4	0.0014903094966381	0.000372577374159526	0.999999999999999	0.485657196759214	"not sign."
"34"	"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity"	0.0140960937831551	0	0.941583433921832	0	0.211441406747327	0.019934887004621	0	0.653813904200971	0	0.299023305069315	"Species"	4	1.31810255251178	0.329525638127946	3.18514614641647	0.117882488307493	"not sign."
"35"	"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity"	1.1014270766096	0	0.140960937831551	0	0	0.0824714713642877	0	0.19934887004621	0	0	"Species"	4	1.84861199079543	0.462152997698857	49.6495432048607	0.000324991913486951	"significant"
"36"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity"	0	0	1.47258025632668	0	3.5862031054919	0	0	0.269773696365237	0	0.151283325999561	"Species"	4	19.8221750096008	4.95554375240019	259.006432273779	5.57630999700885e-06	"significant"
"37"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity"	0.305195582438346	0	0	0	0	0.431611731860666	0	0	0	0	"Species"	4	0.149030949663811	0.0372577374159526	1	0.485657196759213	"not sign."
"38"	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity"	0.0422882813494653	0	0.0140960937831551	0	0	0.0598046610138631	0	0.019934887004621	0	0	"Species"	4	0.00270231809523165	0.000675579523807914	0.849999999999999	0.549963939495801	"not sign."
"39"	"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"	0.488312931901354	0	0	0	0	0.690578770977065	0	0	0	0	"Species"	4	0.381519231139355	0.0953798077848388	1	0.485657196759213	"not sign."
"40"	"2,4-dienoyl-CoA reductase (NADPH) activity"	0.286576617018152	0	0	0	0	0.232635845701803	0	0	0	0	"Species"	4	0.131401851874509	0.0328504629686273	3.0349967561057	0.127347391699439	"not sign."
"41"	"2,5-didehydrogluconate reductase activity"	0.225537500530482	0	0.807736477840866	0	0	0.318958192073937	0	0.58413504565664	0	0	"Species"	4	0.97954871780887	0.244887179452217	2.76428762861082	0.147253979401664	"not sign."
"42"	"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity"	0	0	0.0892313040539797	0	0	0	0	0.0464525723628914	0	0	"Species"	4	0.012739560997078	0.00318489024926951	7.37980588489312	0.0250558535535587	"not sign."
"43"	"23S rRNA (adenine(2030)-N(6))-methyltransferase activity"	0.197345312964171	0	0	0	0	0.279088418064694	0	0	0	0	"Species"	4	0.0623122760782828	0.0155780690195707	0.999999999999999	0.485657196759214	"not sign."
"44"	"23S rRNA (guanine(1835)-N(2))-methyltransferase activity"	0.281921875663102	0	0	0	0	0.39869774009242	0	0	0	0	"Species"	4	0.127167910363842	0.0317919775909606	0.999999999999998	0.485657196759214	"not sign."
"45"	"3 iron, 4 sulfur cluster binding"	0.340633621473247	0	0	0	0	0.395406340915596	0	0	0	0	"Species"	4	0.185650022524767	0.0464125056311917	1.48428657747917	0.333076544891566	"not sign."
"46"	"3-dehydro-L-gulonate-6-phosphate decarboxylase activity"	0	0	0.439042538519316	0	0	0	0	0.501290590405002	0	0	"Species"	4	0.308413361007176	0.0771033402517939	1.53413681484518	0.321130699881378	"not sign."
"47"	"3-dehydroquinate dehydratase activity"	0	0	0.112768750265241	0	0	0	0	0.159479096036968	0	0	"Species"	4	0.0203468656582149	0.00508671641455372	1	0.485657196759214	"not sign."
"48"	"3-dehydroquinate synthase activity"	0	0	1.42976449610518	0	0.789381251856685	0	0	1.86251324535451	0	1.11635367225878	"Species"	4	3.36485540993256	0.841213852483141	0.892023301590034	0.530980557182192	"not sign."
"49"	"3-deoxy-7-phosphoheptulonate synthase activity"	1.30342713092882	0	0.51417774879014	0	0.296017969446258	0.0305550523097869	0	0.567678049772514	0	0.418632627097042	"Species"	4	2.31489474304932	0.578723685762329	5.80528833336359	0.040391824911323	"not sign."
"50"	"3-deoxy-manno-octulosonate cytidylyltransferase activity"	0.0305195582438346	0	0	0	0.0305195582438346	0.0431611731860666	0	0	0	0.0431611731860666	"Species"	4	0.00223546424495716	0.00055886606123929	0.75	0.59833134439221	"not sign."
"51"	"3-hydroxyacyl-CoA dehydrogenase activity"	1.59944510037508	0	0	0	0	0.449187679406832	0	0	0	0	"Species"	4	4.09315940658216	1.02328985164554	25.3578833739846	0.00161805730862571	"significant"
"52"	"3-hydroxybutyryl-CoA epimerase activity"	0.937060562284794	0	0	0	0	0.0303685603661173	0	0	0	0	"Species"	4	1.40493199582319	0.351232998955798	1904.21905721084	3.85598004276263e-08	"significant"
"53"	"3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity"	0	0	1.46081153322104	0	0	0	0	0.166807862165315	0	0	"Species"	4	3.41435253694659	0.853588134236648	153.385865352315	2.04433775692492e-05	"significant"
"54"	"3-isopropylmalate dehydratase activity"	0	0	1.46493879570406	0	0	0	0	2.0717363129312	0	0	"Species"	4	3.4336730802542	0.85841827006355	0.999999999999999	0.485657196759214	"not sign."
"55"	"3-isopropylmalate dehydrogenase activity"	0	0.310114063229412	0.338306250795723	0	0.0728078395933	0	0.438567514101663	0.478437288110904	0	0.0166434878277965	"Species"	4	0.223777646263973	0.0559444115659933	0.663602171879022	0.643842375714219	"not sign."
"56"	"3-methyl-2-oxobutanoate hydroxymethyltransferase activity"	0	0.267825781879947	0	0	0	0	0.378762853087799	0	0	0	"Species"	4	0.114769039103368	0.028692259775842	1	0.485657196759213	"not sign."
"57"	"3-oxo-pimeloyl-[acp] methyl ester reductase activity"	0.115096120942765	0	1.00767290091858	0	1.01206390283761	0.0764481488416594	0	0.648163565565693	0	0.554139469177865	"Species"	4	2.28284562490578	0.570711406226444	3.8928196817776	0.0842410241960613	"not sign."
"58"	"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity"	0.115096120942765	0	1.23321040144906	0	1.01206390283761	0.0764481488416594	0	0.967121757639634	0	0.554139469177865	"Species"	4	2.88811729173112	0.722029322932781	2.89219096616375	0.137351054515817	"not sign."
"59"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	0.112768750265241	0	3.77577508811545	0	0	0.159479096036968	0	2.42925883540866	0	0	"Species"	4	22.4900793409358	5.62251983523395	4.7433558387821	0.0591712161612157	"not sign."
"60"	"3-oxosteroid 1-dehydrogenase activity"	0	0	0	0	0.0446156520269897	0	0	0	0	0.0232262861814455	"Species"	4	0.00318489024926949	0.000796222562317374	7.37980588489318	0.0250558535535583	"not sign."
"61"	"3-phosphoshikimate 1-carboxyvinyltransferase activity"	0.563843751326205	0	0.824159942301546	0	0	0.797395480184842	0	0.647231105847328	0	0	"Species"	4	1.22369707139848	0.30592426784962	1.45022492371813	0.341577941811773	"not sign."
"62"	"3-sulfolactaldehyde reductase activity"	0.427273815413685	0	0	0	0	0.604256424604932	0	0	0	0	"Species"	4	0.292100661341069	0.0730251653352672	1	0.485657196759213	"not sign."
"63"	"3'-5' exonuclease activity"	2.49162627119687	0.310114063229412	6.20688972169667	0	0.0892313040539797	0.533458614398551	0.438567514101663	0.803912822729177	0	0.0464525723628914	"Species"	4	56.5671963693158	14.141799092329	62.8327122942656	0.000183399158837117	"significant"
"64"	"3'-5'-exodeoxyribonuclease activity"	0.0305195582438346	0	0	0	0	0.0431611731860666	0	0	0	0	"Species"	4	0.00149030949663811	0.000372577374159527	1	0.485657196759213	"not sign."
"65"	"3'-5'-exoribonuclease activity"	0.310114063229412	0	0	0	0	0.438567514101663	0	0	0	0	"Species"	4	0.153873171540249	0.0384682928850624	0.999999999999999	0.485657196759214	"not sign."
"66"	"3'-tRNA processing endoribonuclease activity"	0	0	3.61852255554122	0	0	0	0	2.0473910750877	0	0	"Species"	4	20.9499287759369	5.23748219398423	6.24727972661556	0.0349957196439614	"not sign."
"67"	"3',5'-cyclic-AMP phosphodiesterase activity"	0	0	0	0	0.680871633792471	0	0	0	0	0.763549028698229	"Species"	4	0.741737890725165	0.185434472681291	1.59032768697123	0.308336124288874	"not sign."
"68"	"3',5'-cyclic-nucleotide phosphodiesterase activity"	0.0281921875663102	0	0.0610391164876695	0	0.0610391164876695	0.039869774009242	0	0.0863223463721334	0	0.0863223463721334	"Species"	4	0.00746021413002354	0.00186505353250588	0.565418102684974	0.699712823585938	"not sign."
"69"	"3'(2'),5'-bisphosphate nucleotidase activity"	0	0	0.0305195582438346	0	0.57987160663286	0	0	0.0431611731860666	0	0.820062290535267	"Species"	4	0.525334097564935	0.131333524391234	0.973756906077348	0.496229798762323	"not sign."
"70"	"4 iron, 4 sulfur cluster binding"	8.18719309365295	0.225537500530482	1.40389967921639	0	15.8934046923445	1.21975794615536	0.318958192073937	1.98541396655906	0	4.9738376781405	"Species"	4	378.902130705774	94.7255326764435	15.6465230433562	0.00493482601848355	"significant"
"71"	"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity"	0.296017969446258	0	0	0	0	0.418632627097042	0	0	0	0	"Species"	4	0.140202621176137	0.0350506552940341	0.999999999999999	0.485657196759214	"not sign."
"72"	"4-amino-4-deoxychorismate synthase activity"	0	0	0.0563843751326205	0	0	0	0	0.0797395480184842	0	0	"Species"	4	0.00508671641455372	0.00127167910363843	1	0.485657196759214	"not sign."
"73"	"4-aminobutyrate transaminase activity"	0.155057031614706	0	0	0	1.08513548186693	0.219283757050831	0	0	0	0.498745159002872	"Species"	4	1.7878924059211	0.446973101480276	7.52905601986986	0.0240515700036435	"not sign."
"74"	"4-aminobutyrate:2-oxoglutarate transaminase activity"	0.211441406747327	0	0.389904014855285	0	1.69100377510658	0.299023305069315	0	0.206118160343533	0	0.319704159848638	"Species"	4	4.01050681756322	1.0026267043908	21.4135463003145	0.00240197076737263	"significant"
"75"	"4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity"	0.63432422024198	0	0	0	1.69100377510658	0.897069915207946	0	0	0	0.319704159848638	"Species"	4	4.3608618532399	1.09021546330998	6.01037132249675	0.0377534881192163	"not sign."
"76"	"4-hydroxy-tetrahydrodipicolinate reductase"	0	0	0.098672656482086	0	0	0	0	0.139544209032347	0	0	"Species"	4	0.0155780690195708	0.0038945172548927	1	0.485657196759214	"not sign."
"77"	"4-hydroxy-tetrahydrodipicolinate synthase"	0	0	0.0563843751326205	0	1.52185064970871	0	0	0.0797395480184842	0	0.0804855157931805	"Species"	4	3.6420868781015	0.910521719525374	354.666353515244	2.55201000203037e-06	"significant"
"78"	"4-hydroxyphenylacetate decarboxylase activity"	0.253729688096792	0	0	0	0	0.358827966083179	0	0	0	0	"Species"	4	0.103006007394713	0.0257515018486782	0.999999999999998	0.485657196759214	"not sign."
"79"	"4-hydroxythreonine-4-phosphate dehydrogenase activity"	0.281921875663102	0	0	0	0	0.39869774009242	0	0	0	0	"Species"	4	0.127167910363842	0.0317919775909606	0.999999999999998	0.485657196759214	"not sign."
"80"	"4-phosphoerythronate dehydrogenase activity"	0.298345340123782	0.0140960937831551	0.119750862297814	0	0	0.335601679901733	0.019934887004621	0.0896137455489577	0	0	"Species"	4	0.132381749349683	0.0330954373374207	1.36694165212069	0.363598839114118	"not sign."
"81"	"4-phytase activity"	0	0	0	0	0.678676132832952	0	0	0	0	0.162397511326445	"Species"	4	0.736962069243346	0.184240517310837	34.9298249796337	0.000757399131510015	"significant"
"82"	"5-(carboxyamino)imidazole ribonucleotide mutase activity"	0	0.0751352102708246	0.936928692566787	0	0	0	0.0663874593675124	0.487752009810359	0	0	"Species"	4	1.35725201218394	0.339313003045986	7.00164991749502	0.0278776954715956	"not sign."
"83"	"5-(carboxyamino)imidazole ribonucleotide synthase activity"	0	1.31958685595348	0.62707836877339	0	0	0	1.06878214823385	0.109921616440927	0	0	"Species"	4	2.75327130311301	0.688317825778254	2.98133627221311	0.130984633509839	"not sign."
"84"	"5-amino-4-imidazole carboxylate lyase activity"	0	0.0610391164876695	0	0	0	0	0.0863223463721334	0	0	0	"Species"	4	0.00596123798655246	0.00149030949663812	1	0.485657196759213	"not sign."
"85"	"5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity"	0.0281921875663102	0	0	0	0	0.039869774009242	0	0	0	0	"Species"	4	0.00127167910363842	0.000317919775909606	0.999999999999998	0.485657196759214	"not sign."
"86"	"5-amino-6-(5-phosphoribosylamino)uracil reductase activity"	1.19026277150955	0	0	0	1.21226406535134	1.68328575425659	0	0	0	1.71440028239741	"Species"	4	3.46376517803279	0.865941294508197	0.750041926975348	0.598310102433718	"not sign."
"87"	"5-carboxymethyl-2-hydroxymuconate delta-isomerase activity"	0.0281921875663102	0.0305195582438346	0	0	0	0.039869774009242	0.0431611731860666	0	0	0	"Species"	4	0.00207365811191564	0.000518414527978909	0.750784457150917	0.597934040858706	"not sign."
"88"	"5-dehydro-2-deoxygluconokinase activity"	0	0	0	0	0.744369990675672	0	0	0	0	0.414781752089196	"Species"	4	0.8865386928296	0.2216346732074	6.44122432714264	0.0329430283274338	"not sign."
"89"	"5-formyltetrahydrofolate cyclo-ligase activity"	0.57987160663286	0	1.21612758839834	0	0	0.820062290535267	0	1.56038503305204	0	0	"Species"	4	2.34018953946397	0.585047384865993	0.941406856184421	0.509648911855389	"not sign."
"90"	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity"	1.22078232975339	0	1.83907869468871	0	0.64091072312053	1.72644692744266	0	0.788080758485387	0	0.906384636907401	"Species"	4	5.08828838279076	1.27207209569769	1.43794692797572	0.344712346706919	"not sign."
"91"	"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity"	0.0140960937831551	0	0	0	0	0.019934887004621	0	0	0	0	"Species"	4	0.000317919775909606	7.94799439774015e-05	0.999999999999998	0.485657196759214	"not sign."
"92"	"5-oxoprolinase (ATP-hydrolyzing) activity"	0.253729688096792	0	0	0	0	0.358827966083179	0	0	0	0	"Species"	4	0.103006007394713	0.0257515018486782	0.999999999999998	0.485657196759214	"not sign."
"93"	"5-phosphoribose 1-diphosphate biosynthetic process"	0	0	1.81554124847745	0	0	0	0	0.582149090085535	0	0	"Species"	4	5.27390403987689	1.31847600996922	19.4524268330182	0.00300015514822169	"significant"
"94"	"5'-3' exonuclease activity"	0.0140960937831551	0.0140960937831551	1.12470078338484	0	0	0.019934887004621	0.019934887004621	0.912780943317373	0	0	"Species"	4	1.9990336227453	0.499758405686325	2.99628338645849	0.129957223667279	"not sign."
"95"	"5'-3' exoribonuclease activity"	0	0	3.00114927863195	0	0	0	0	0.935074769780449	0	0	"Species"	4	14.411035188213	3.60275879705324	20.6021485180615	0.00262718205955885	"significant"
"96"	"5'-flap endonuclease activity"	0.0563843751326205	0.0845765626989305	0	0	0	0.0797395480184842	0.119609322027726	0	0	0	"Species"	4	0.0127167910363842	0.00317919775909606	0.76923076923077	0.588673798296163	"not sign."
"97"	"5'-nucleotidase activity"	0.0869039333764551	0	0.0563843751326205	0	0.208982166351794	0.0365783748324176	0	0.0797395480184842	0	0.136066317911848	"Species"	4	0.0591722795134874	0.0147930698783718	2.82198305024787	0.142669105919991	"not sign."
"98"	"6-phospho-beta-glucosidase activity"	1.48654448039183	0	1.18600363930853	0	0	0.228411986806608	0	0.0371378506634375	0	0	"Species"	4	4.3758328684274	1.09395821710685	102.141229317929	5.57656923166183e-05	"significant"
"99"	"6-phosphofructokinase activity"	0	0	0	0	0.762988956095865	0	0	0	0	1.07902932965166	"Species"	4	0.931443435398813	0.232860858849703	1	0.485657196759213	"not sign."
"100"	"6-phosphogluconolactonase activity"	0	0	0.122078232975338	0	0	0	0	0.172644692744266	0	0	"Species"	4	0.0238449519462096	0.00596123798655241	1	0.485657196759214	"not sign."
"101"	"6-sulfoquinovose(1-) catabolic process"	0.896967781894842	0	0	0	0	0.630587618019524	0	0	0	0	"Species"	4	1.28728192281176	0.321820480702941	4.04662356108201	0.0787354790011752	"not sign."
"102"	"6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde"	0.11742349162029	0	0	0	0	0.00658279835364922	0	0	0	0	"Species"	4	0.0220612422148805	0.00551531055372013	636.383443334057	5.94712140090086e-07	"significant"
"103"	"6,7-dimethyl-8-ribityllumazine synthase activity"	0.0610391164876695	0	0	0	0	0.0863223463721334	0	0	0	0	"Species"	4	0.00596123798655247	0.00149030949663812	1	0.485657196759213	"not sign."
"104"	"7S RNA binding"	0	0	2.6063267829856	0	0	0	0	2.01137217608631	0	0	"Species"	4	10.8687028795329	2.71717571988323	3.35817135879006	0.108140520365038	"not sign."
"105"	"8-amino-7-oxononanoate synthase activity"	0	0	0	0	0.57793984510936	0	0	0	0	0.817330367189463	"Species"	4	0.53442314330405	0.133605785826012	1	0.485657196759214	"not sign."
"106"	"acetaldehyde dehydrogenase (acetylating) activity"	0	0	1.20708184512426	0	3.5247683798502	0	0	0.192020103917861	0	1.31675603815773	"Species"	4	18.8059148042044	4.70147870105111	13.2756266430416	0.00713600422741748	"not sign."
"107"	"acetate kinase activity"	0.310114063229412	0	0.366498438362033	0	0	0.438567514101663	0	0.518307062120147	0	0	"Species"	4	0.277861884144996	0.0694654710362491	0.753448275862069	0.596587030628405	"not sign."
"108"	"acetate transmembrane transporter activity"	0.140960937831551	0	0	0	0	0.19934887004621	0	0	0	0	"Species"	4	0.0317919775909606	0.00794799439774015	0.999999999999998	0.485657196759214	"not sign."
"109"	"acetate-CoA ligase activity"	0	0	0	0	0.338306250795723	0	0	0	0	0.478437288110904	"Species"	4	0.183121790923933	0.0457804477309833	1	0.485657196759213	"not sign."
"110"	"acetoacetyl-CoA reductase activity"	0	0	0.0140960937831551	0	0	0	0	0.019934887004621	0	0	"Species"	4	0.000317919775909606	7.94799439774015e-05	0.999999999999999	0.485657196759214	"not sign."
"111"	"acetoin biosynthetic process"	0	0	1.2022952340512	0	0	0	0	0.544078779703719	0	0	"Species"	4	2.31282212771556	0.57820553192889	9.76626875237586	0.013949194944175	"not sign."
"112"	"acetolactate decarboxylase activity"	0	0	1.2022952340512	0	0	0	0	0.544078779703719	0	0	"Species"	4	2.31282212771556	0.57820553192889	9.76626875237586	0.013949194944175	"not sign."
"113"	"acetolactate synthase activity"	0.310114063229412	0	2.17079844260589	0	0.366234698926016	0.438567514101663	0	3.06997259871164	0	0.517934078232799	"Species"	4	6.64283004842841	1.6607075121071	0.839985964936496	0.554602943273618	"not sign."
"114"	"acetyl-CoA biosynthetic process"	0.140960937831551	0	0.366498438362033	0	0	0.19934887004621	0	0.518307062120147	0	0	"Species"	4	0.205376175237606	0.0513440438094015	0.832474226804124	0.558112238693562	"not sign."
"115"	"acetyl-CoA biosynthetic process from acetate"	0	0	0	0	0.310114063229412	0	0	0	0	0.438567514101663	"Species"	4	0.15387317154025	0.0384682928850624	1	0.485657196759213	"not sign."
"116"	"acetyl-CoA C-acetyltransferase activity"	0.0281921875663102	0	0	0	0	0.039869774009242	0	0	0	0	"Species"	4	0.00127167910363842	0.000317919775909606	0.999999999999998	0.485657196759214	"not sign."
"117"	"acetyl-CoA C-acyltransferase activity"	0.54974765754305	0	0	0	0	0.777460593180221	0	0	0	0	"Species"	4	0.483555979158513	0.120888994789628	0.999999999999998	0.485657196759214	"not sign."
