"","Taxonomic_ID"
"31","2-dehydro-3-deoxy-phosphogluconate aldolase activity"
"32","2-dehydro-3-deoxygalactonokinase activity"
"33","2-dehydro-3-deoxyglucarate aldolase activity"
"34","2-dehydro-3-deoxygluconokinase activity"
"35","2-dehydropantoate 2-reductase activity"
"36","2-deoxy-D-gluconate 3-dehydrogenase activity"
"37","2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity"
"38","2-hydroxy-3-oxopropionate reductase activity"
"39","2-iminoacetate synthase activity"
"40","2-isopropylmalate synthase activity"
"41","2-keto-3-deoxygluconate aldolase activity"
"42","2-keto-3-deoxygluconate:proton symporter activity"
"43","2-methylisocitrate dehydratase activity"
"44","2-octaprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
"45","2-octaprenyl-6-methoxyphenol hydroxylase activity"
"46","2-octaprenylphenol hydroxylase activity"
"47","2-oxoglutarate carboxylase activity"
"48","2-oxoglutarate decarboxylase activity"
"49","2-oxopent-4-enoate hydratase activity"
"50","2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity"
"51","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity"
"52","2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity"
"53","2 iron, 2 sulfur cluster binding"
"54","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity"
"55","2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity"
"56","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity"
"57","2,3-dihydroxybenzoate-serine ligase activity"
"58","2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"
"59","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity"
"60","2,4-dienoyl-CoA reductase (NADPH) activity"
"61","2,5-didehydrogluconate reductase activity"
"62","23S rRNA (adenine(1618)-N(6))-methyltransferase activity"
"63","23S rRNA (adenine(2030)-N(6))-methyltransferase activity"
"64","23S rRNA (guanine(2445)-N(2))-methyltransferase activity"
"65","23S rRNA (guanine(745)-N(1))-methyltransferase activity"
"66","3'-5'-exodeoxyribonuclease activity"
"67","3'-5'-exoribonuclease activity"
"68","3'-5' exonuclease activity"
"69","3'-nucleotidase activity"
"70","3'-phosphoadenosine 5'-phosphosulfate metabolic process"
"71","3'-tRNA processing endoribonuclease activity"
"72","3'(2'),5'-bisphosphate nucleotidase activity"
"73","3',5'-cyclic-AMP phosphodiesterase activity"
"74","3',5'-cyclic-nucleotide phosphodiesterase activity"
"75","3-carboxyethylcatechol 2,3-dioxygenase activity"
"76","3-dehydro-L-gulonate-6-phosphate decarboxylase activity"
"77","3-dehydroquinate dehydratase activity"
"78","3-dehydroquinate synthase activity"
"79","3-demethylubiquinone-6 3-O-methyltransferase activity"
"80","3-demethylubiquinone-9 3-O-methyltransferase activity"
"81","3-demethylubiquinone-n 3-O-methyltransferase activity"
"82","3-deoxy-7-phosphoheptulonate synthase activity"
"83","3-deoxy-8-phosphooctulonate synthase activity"
"84","3-deoxy-manno-octulosonate-8-phosphatase activity"
"85","3-deoxy-manno-octulosonate cytidylyltransferase activity"
"86","3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase activity"
"87","3-hydroxyacyl-CoA dehydrogenase activity"
"88","3-hydroxybutyryl-CoA dehydrogenase activity"
"89","3-hydroxybutyryl-CoA epimerase activity"
"90","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity"
"91","3-hydroxyisobutyryl-CoA hydrolase activity"
"92","3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity"
"93","3-isopropylmalate dehydratase activity"
"94","3-isopropylmalate dehydratase complex"
"95","3-isopropylmalate dehydrogenase activity"
"96","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity"
"97","3-methyl-2-oxobutanoate hydroxymethyltransferase activity"
"98","3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity"
"99","3-oxo-pimeloyl-[acp] methyl ester reductase activity"
"100","3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity"
"101","3-oxoacyl-[acyl-carrier-protein] synthase activity"
"102","3-oxosteroid 1-dehydrogenase activity"
"103","3-phosphoshikimate 1-carboxyvinyltransferase activity"
"104","3-sulfolactaldehyde reductase activity"
"105","3 iron, 4 sulfur cluster binding"
"106","3,4-dihydroxy-2-butanone-4-phosphate synthase activity"
"107","4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity"
"108","4-acetamido-4,6-dideoxy-D-galactose transferase activity"
"109","4-alpha-D-\{(1->4)-alpha-D-glucano}trehalose trehalohydrolase activity"
"110","4-amino-4-deoxy-alpha-L-arabinopyranosyl undecaprenyl phosphate biosynthetic process"
"111","4-amino-4-deoxychorismate lyase activity"
"112","4-amino-4-deoxychorismate synthase activity"
"113","4-aminobutyrate transaminase activity"
"114","4-aminobutyrate:2-oxoglutarate transaminase activity"
"115","4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity"
"116","4-hydroxy-2-oxoglutarate aldolase activity"
"117","4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity"
"118","4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity"
"119","4-hydroxy-4-methyl-2-oxoglutarate aldolase activity"
"120","4-hydroxy-tetrahydrodipicolinate reductase"
"121","4-hydroxy-tetrahydrodipicolinate synthase"
"122","4-hydroxybenzoate 3-monooxygenase activity"
"123","4-hydroxybenzoate decaprenyltransferase activity"
"124","4-hydroxybenzoate decarboxylase activity"
"125","4-hydroxybenzoate nonaprenyltransferase activity"
"126","4-hydroxybenzoate octaprenyltransferase activity"
"127","4-hydroxybenzoyl-CoA reductase activity"
"128","4-hydroxythreonine-4-phosphate dehydrogenase activity"
"129","4-phosphoerythronate dehydrogenase activity"
"130","4-phytase activity"
"131","4 iron, 4 sulfur cluster binding"
"132","5'-3' exonuclease activity"
"133","5'-3' exoribonuclease activity"
"134","5'-flap endonuclease activity"
"135","5'-nucleotidase activity"
"136","5-(carboxyamino)imidazole ribonucleotide mutase activity"
"137","5-(carboxyamino)imidazole ribonucleotide synthase activity"
"138","5-amino-4-imidazole carboxylate lyase activity"
"139","5-amino-6-(5-phosphoribosylamino)uracil reductase activity"
"140","5-carboxymethyl-2-hydroxymuconate delta-isomerase activity"
"141","5-dehydro-2-deoxygluconokinase activity"
"142","5-formyltetrahydrofolate cyclo-ligase activity"
"143","5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity"
"144","5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase activity"
"145","5-oxoprolinase (ATP-hydrolyzing) activity"
"146","5-phosphoribose 1-diphosphate biosynthetic process"
"147","5S rRNA binding"
"148","6-aminohexanoate-cyclic-dimer hydrolase activity"
"149","6-aminohexanoate-dimer hydrolase activity"
"150","6-phospho-beta-glucosidase activity"
"151","6-phosphofructokinase activity"
"152","6-phosphogluconolactonase activity"
"153","6-sulfoquinovose(1-) catabolic process"
"154","6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde"
"155","6,7-dimethyl-8-ribityllumazine synthase activity"
"156","7,8-dihydroneopterin 3'-triphosphate biosynthetic process"
"157","7S RNA binding"
"158","8-amino-7-oxononanoate synthase activity"
"159","8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity"
"160","acetaldehyde catabolic process"
"161","acetaldehyde dehydrogenase (acetylating) activity"
"162","acetate-CoA ligase (ADP-forming) activity"
"163","acetate-CoA ligase activity"
"164","acetate kinase activity"
"165","acetate transmembrane transporter activity"
"166","acetoin biosynthetic process"
"167","acetolactate decarboxylase activity"
"168","acetolactate synthase activity"
"169","acetolactate synthase complex"
"170","acetyl-CoA biosynthetic process"
"171","acetyl-CoA biosynthetic process from acetate"
"172","acetyl-CoA biosynthetic process from pyruvate"
"173","acetyl-CoA C-acetyltransferase activity"
"174","acetyl-CoA C-acyltransferase activity"
"175","acetyl-CoA carboxylase activity"
"176","acetyl-CoA carboxylase complex"
"177","acetyl-CoA metabolic process"
"178","acetyl-CoA transporter activity"
"179","acetyl-CoA:L-glutamate N-acetyltransferase activity"
"180","acetylglucosaminyltransferase activity"
"181","acetylglutamate kinase activity"
"182","acetylornithine deacetylase activity"
"183","acetyltransferase activity"
"184","acid-amino acid ligase activity"
"185","acid-ammonia (or amide) ligase activity"
"186","acid phosphatase activity"
"187","acireductone synthase activity"
"188","aconitate hydratase activity"
"189","actin binding"
"190","acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity"
"191","acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity"
"192","acyl-CoA dehydrogenase activity"
"193","acyl-CoA hydrolase activity"
"194","acyl-CoA metabolic process"
"195","acyl-L-homoserine-lactone lactonohydrolase activity"
"196","acyl-phosphate glycerol-3-phosphate acyltransferase activity"
"197","acylglycerol lipase activity"
"198","adenine deaminase activity"
"199","adenine phosphoribosyltransferase activity"
"200","adenine salvage"
"201","adenine transmembrane transporter activity"
"202","adenine transport"
"203","adenosine deaminase activity"
"204","adenosylcobinamide kinase activity"
"205","adenosylhomocysteine nucleosidase activity"
"206","adenosylmethionine-8-amino-7-oxononanoate transaminase activity"
"207","adenyl-nucleotide exchange factor activity"
"208","adenylate cyclase activity"
"209","adenylate kinase activity"
"210","adenylosuccinate synthase activity"
"211","adenylyl-[glutamate-ammonia ligase] hydrolase activity"
"212","adenylylsulfate kinase activity"
"213","adenylyltransferase activity"
"214","ADP-dependent NAD(P)H-hydrate dehydratase activity"
"215","ADP-glyceromanno-heptose 6-epimerase activity"
"216","ADP-heptose-lipopolysaccharide heptosyltransferase activity"
"217","ADP-L-glycero-beta-D-manno-heptose biosynthetic process"
"218","ADP-ribose diphosphatase activity"
"219","ADP binding"
"220","aerobic electron transport chain"
"221","aerobic respiration"
"222","agmatinase activity"
"223","alanine-tRNA ligase activity"
"224","alanine biosynthetic process"
"225","alanine catabolic process"
"226","alanine metabolic process"
"227","alanine racemase activity"
"228","alanine:sodium symporter activity"
"229","alanyl-tRNA aminoacylation"
"230","alcohol dehydrogenase (NAD) activity"
"231","alcohol dehydrogenase (NADP+) activity"
"232","alcohol metabolic process"
"233","aldehyde-lyase activity"
"234","aldehyde dehydrogenase (NAD) activity"
"235","aldose 1-epimerase activity"
"236","alginic acid biosynthetic process"
"237","alkaline phosphatase activity"
"238","alkanal monooxygenase (FMN-linked) activity"
"239","alkanesulfonate catabolic process"
"240","alkanesulfonate monooxygenase activity"
"241","alkylbase DNA N-glycosylase activity"
"242","alkylglycerone-phosphate synthase activity"
"243","allophanate hydrolase activity"
"244","alpha-1,4-glucan synthase activity"
"245","alpha-1,4-glucosidase activity"
"246","alpha-amylase activity"
"247","alpha-D-xyloside xylohydrolase"
"248","alpha-galactosidase activity"
"249","alpha-glucan catabolic process"
"250","alpha-ketoacid dehydrogenase activity"
"251","alpha-L-arabinofuranosidase activity"
"252","alpha-mannosidase activity"
"253","alpha-ribazole phosphatase activity"
"254","alpha,alpha-phosphotrehalase activity"
"255","alpha,alpha-trehalase activity"
"256","alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"
"257","altronate dehydratase activity"
"258","amidase activity"
"259","amidinotransferase activity"
"260","amidophosphoribosyltransferase activity"
"261","amine catabolic process"
"262","amine transmembrane transporter activity"
"263","amino acid-transporting ATPase activity"
"264","amino acid binding"
"265","amino acid export"
"266","amino acid homeostasis"
"267","amino acid transmembrane transport"
"268","amino acid transmembrane transporter activity"
"269","amino acid transport"
"270","amino sugar catabolic process"
"271","amino sugar metabolic process"
"272","aminoacyl-tRNA editing activity"
"273","aminoacyl-tRNA hydrolase activity"
"274","aminoacyl-tRNA ligase activity"
"275","aminomethyltransferase activity"
"276","aminopeptidase activity"
"277","ammonia assimilation cycle"
"278","ammonium transmembrane transporter activity"
"279","AMP-lyase (fumarate-forming) activity"
"280","AMP binding"
"281","AMP nucleosidase activity"
"282","AMP salvage"
"283","anaerobic electron transport chain"
"284","anaerobic respiration"
"285","anchored component of periplasmic side of cell outer membrane"
"286","anchored component of plasma membrane"
"287","androstan-3-alpha,17-beta-diol dehydrogenase activity"
"288","anion transmembrane transporter activity"
"289","anthranilate 1,2-dioxygenase (deaminating, decarboxylating) activity"
"290","anthranilate phosphoribosyltransferase activity"
"291","anthranilate synthase activity"
"292","anthranilate synthase complex"
"293","antibiotic biosynthetic process"
"294","antibiotic catabolic process"
"295","antibiotic metabolic process"
"296","antibiotic transport"
"297","antibiotic transporter activity"
"298","antioxidant activity"
"299","antiporter activity"
"300","aquacobalamin reductase activity"
"301","arabinose-5-phosphate isomerase activity"
"302","arabinose catabolic process"
"303","arginine-tRNA ligase activity"
"304","arginine binding"
"305","arginine biosynthetic process"
"306","arginine biosynthetic process via ornithine"
"307","arginine catabolic process"
"308","arginine catabolic process to glutamate"
"309","arginine catabolic process to ornithine"
"310","arginine catabolic process to succinate"
"311","arginine decarboxylase activity"
"312","arginine metabolic process"
"313","arginine N-succinyltransferase activity"
"314","arginine transport"
"315","arginine:ornithine antiporter activity"
"316","argininosuccinate lyase activity"
"317","argininosuccinate synthase activity"
"318","arginyl-tRNA aminoacylation"
"319","aromatic-amino-acid:2-oxoglutarate aminotransferase activity"
"320","aromatic amino acid family biosynthetic process"
"321","aromatic amino acid family metabolic process"
"322","aromatic amino acid transmembrane transporter activity"
"323","aromatic compound catabolic process"
"324","arsenate reductase (glutaredoxin) activity"
"325","arsenite transmembrane transporter activity"
"326","aryl-alcohol dehydrogenase (NADP+) activity"
"327","aryl sulfotransferase activity"
"328","aryldialkylphosphatase activity"
"329","arylsulfatase activity"
"330","arylsulfate sulfotransferase activity"
"331","asparaginase activity"
"332","asparagine-tRNA ligase activity"
"333","asparagine biosynthetic process"
"334","asparagine metabolic process"
"335","asparagine synthase (glutamine-hydrolyzing) activity"
"336","asparaginyl-tRNA aminoacylation"
"337","aspartate-ammonia ligase activity"
"338","aspartate-semialdehyde dehydrogenase activity"
"339","aspartate-tRNA ligase activity"
"340","aspartate-tRNA(Asn) ligase activity"
"341","aspartate 1-decarboxylase activity"
"342","aspartate 4-decarboxylase activity"
"343","aspartate ammonia-lyase activity"
"344","aspartate biosynthetic process"
"345","aspartate carbamoyltransferase activity"
"346","aspartate carbamoyltransferase complex"
"347","aspartate family amino acid biosynthetic process"
"348","aspartate kinase activity"
"349","aspartate metabolic process"
"350","aspartate racemase activity"
"351","aspartate transport"
"352","aspartic-type endopeptidase activity"
"353","aspartyl-tRNA aminoacylation"
"354","aspartyl esterase activity"
"355","assembly of large subunit precursor of preribosome"
"356","ATP-binding cassette (ABC) transporter complex"
"357","ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing"
"358","ATP-dependent 3'-5' DNA helicase activity"
"359","ATP-dependent 3'-5' RNA helicase activity"
"360","ATP-dependent 5'-3' DNA helicase activity"
"361","ATP-dependent DNA helicase activity"
"362","ATP-dependent helicase activity"
"363","ATP-dependent peptidase activity"
"364","ATP-dependent RNA helicase activity"
"365","ATP adenylyltransferase activity"
"366","ATP binding"
"367","ATP biosynthetic process"
"368","ATP diphosphatase activity"
"369","ATP hydrolysis coupled proton transport"
"370","ATP metabolic process"
"371","ATP phosphoribosyltransferase activity"
"372","ATP synthesis coupled electron transport"
"373","ATP synthesis coupled proton transport"
"374","ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity"
"375","ATPase activator activity"
"376","ATPase activity"
"377","ATPase activity, coupled"
"378","ATPase activity, coupled to transmembrane movement of substances"
"379","auxin biosynthetic process"
"380","bacillithiol biosynthetic process"
"381","bacterial-type flagellum"
"382","bacterial-type flagellum-dependent cell motility"
"383","bacterial-type flagellum-dependent swarming motility"
"384","bacterial-type flagellum-dependent swimming motility"
"385","bacterial-type flagellum assembly"
"386","bacterial-type flagellum basal body"
"387","bacterial-type flagellum basal body, distal rod, P ring"
"388","bacterial-type flagellum basal body, MS ring"
"389","bacterial-type flagellum filament"
"390","bacterial-type flagellum filament cap"
"391","bacterial-type flagellum hook"
"392","bacterial-type flagellum organization"
"393","bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding"
"394","bacterial-type RNA polymerase enhancer sequence-specific DNA binding"
"395","bacterial-type RNA polymerase transcription factor activity, sequence-specific DNA binding"
"396","bacterial-type RNA polymerase transcriptional activator activity, sequence-specific DNA binding"
"397","bacterial-type RNA polymerase transcriptional repressor activity, sequence-specific DNA binding"
"398","bacterial cellulose biosynthetic process"
"399","bacterial nucleoid"
"400","bacteriocin transport"
"401","Bam protein complex"
"402","barrier septum assembly"
"403","base-excision repair"
"404","basic amino acid transport"
"405","bent DNA binding"
"406","benzoate 1,2-dioxygenase activity"
"407","benzoate transporter activity"
"408","beta-aspartyl-peptidase activity"
"409","beta-galactosidase activity"
"410","beta-galactosidase complex"
"411","beta-glucosidase activity"
"412","beta-ketoacyl-acyl-carrier-protein synthase II activity"
"413","beta-ketoacyl-acyl-carrier-protein synthase III activity"
"414","beta-lactam antibiotic catabolic process"
"415","beta-lactamase activity"
"416","beta-mannosidase activity"
"417","beta-N-acetylhexosaminidase activity"
"418","betaine-aldehyde dehydrogenase activity"
"419","bioluminescence"
"420","biosynthetic process"
"421","biotin-[acetyl-CoA-carboxylase] ligase activity"
"422","biotin biosynthetic process"
"423","biotin carboxylase activity"
"424","biotin synthase activity"
"425","biotin transporter activity"
"426","bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity"
"427","blue light photoreceptor activity"
"428","branched-chain-amino-acid transaminase activity"
"429","branched-chain amino acid biosynthetic process"
"430","branched-chain amino acid catabolic process"
"431","branched-chain amino acid metabolic process"
"432","branched-chain amino acid transmembrane transporter activity"
"433","butane-1,4-diamine:2-oxoglutarate aminotransferase activity"
"434","butyryl-CoA dehydrogenase activity"
"435","C-terminal protein amino acid modification"
"436","C4-dicarboxylate transmembrane transporter activity"
"437","C4-dicarboxylate transport"
"438","cadmium-exporting ATPase activity"
"439","calcium-transporting ATPase activity"
"440","calcium ion binding"
"441","cAMP binding"
"442","cAMP biosynthetic process"
"443","carbamoyl-phosphate synthase (ammonia) activity"
"444","carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"
"445","carbamoyl-phosphate synthase complex"
"446","carbamoyl phosphate biosynthetic process"
"447","carbohydrate-transporting ATPase activity"
"448","carbohydrate binding"
"449","carbohydrate biosynthetic process"
"450","carbohydrate catabolic process"
"451","carbohydrate derivative binding"
"452","carbohydrate derivative biosynthetic process"
"453","carbohydrate derivative metabolic process"
"454","carbohydrate metabolic process"
"455","carbohydrate transmembrane transport"
"456","carbohydrate transmembrane transporter activity"
"457","carbohydrate transport"
"458","carbohydrate utilization"
"459","carbon-carbon lyase activity"
"460","carbon-nitrogen ligase activity, with glutamine as amido-N-donor"
"461","carbon-nitrogen lyase activity"
"462","carbon-oxygen lyase activity"
"463","carbon-oxygen lyase activity, acting on polysaccharides"
"464","carbon-sulfur lyase activity"
"465","carbon fixation"
"466","carbon monoxide binding"
"467","carbon utilization"
"468","carbonate dehydratase activity"
"469","carboxy-lyase activity"
"470","carboxyl- or carbamoyltransferase activity"
"471","carboxyl-O-methyltransferase activity"
"472","carboxylic acid metabolic process"
"473","carboxylic ester hydrolase activity"
"474","carboxymethylenebutenolidase activity"
"475","carboxypeptidase activity"
"476","cardiolipin biosynthetic process"
"477","cardiolipin synthase activity"
"478","carnitine biosynthetic process"
"479","carnitine transmembrane transport"
"480","carnitine transmembrane transporter activity"
"481","carotene catabolic process"
"482","carotenoid biosynthetic process"
"483","carotenoid dioxygenase activity"
"484","catabolic process"
"485","catalase activity"
"486","catalytic activity"
"487","catechol-containing compound catabolic process"
"488","catechol-containing compound metabolic process"
"489","catechol 1,2-dioxygenase activity"
"490","cation-transporting ATPase activity"
"491","cation binding"
"492","cation efflux transmembrane transporter activity"
"493","cation transmembrane transporter activity"
"494","CDP-4-dehydro-6-deoxyglucose reductase activity"
"495","CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity"
"496","CDP-diacylglycerol-serine O-phosphatidyltransferase activity"
"497","CDP-diacylglycerol biosynthetic process"
"498","CDP-diacylglycerol diphosphatase activity"
"499","cell"
"500","cell adhesion"
"501","cell adhesion involved in biofilm formation"
"502","cell cycle"
"503","cell division"
"504","cell division site"
"505","cell envelope Sec protein transport complex"
"506","cell morphogenesis"
"507","cell motility"
"508","cell outer membrane"
"509","cell redox homeostasis"
"510","cell septum"
"511","cell septum assembly"
"512","cell surface"
"513","cell volume homeostasis"
"514","cell wall"
"515","cell wall macromolecule biosynthetic process"
"516","cell wall macromolecule catabolic process"
"517","cell wall mannoprotein biosynthetic process"
"518","cell wall modification"
"519","cell wall organization"
"520","cellular amino acid biosynthetic process"
"521","cellular amino acid catabolic process"
"522","cellular amino acid metabolic process"
"523","cellular aromatic compound metabolic process"
"524","cellular carbohydrate metabolic process"
"525","cellular catabolic process"
"526","cellular copper ion homeostasis"
"527","cellular hyperosmotic response"
"528","cellular iron ion homeostasis"
"529","cellular lipid metabolic process"
"530","cellular metabolic compound salvage"
"531","cellular metabolic process"
"532","cellular modified amino acid biosynthetic process"
"533","cellular oligosaccharide catabolic process"
"534","cellular phosphate ion homeostasis"
"535","cellular potassium ion homeostasis"
"536","cellular protein modification process"
"537","cellular respiration"
"538","cellular response to amino acid stimulus"
"539","cellular response to antibiotic"
"540","cellular response to cell envelope stress"
"541","cellular response to chloramphenicol"
"542","cellular response to cold"
"543","cellular response to DNA damage stimulus"
"544","cellular response to glucose-phosphate stress"
"545","cellular response to heat"
"546","cellular response to hydrogen peroxide"
"547","cellular response to iron ion"
"548","cellular response to menadione"
"549","cellular response to metal ion"
"550","cellular response to misfolded protein"
"551","cellular response to nitrogen starvation"
"552","cellular response to nitrosative stress"
"553","cellular response to nutrient levels"
"554","cellular response to osmotic stress"
"555","cellular response to oxidative stress"
"556","cellular response to paraquat"
"557","cellular response to pH"
"558","cellular response to phosphate starvation"
"559","cellular response to starvation"
"560","cellular response to unfolded protein"
"561","cellular response to zinc ion"
"562","cellular sodium ion homeostasis"
"563","cellular stress response to acid chemical"
"564","cellular water homeostasis"
"565","cellulase activity"
"566","cellulose biosynthetic process"
"567","cellulose synthase (UDP-forming) activity"
"568","cellulose synthase activity"
"569","channel activity"
"570","chaperone-mediated protein folding"
"571","chaperone binding"
"572","chaperone mediated protein folding requiring cofactor"
"573","chemotaxis"
"574","chitin binding"
"575","chitin catabolic process"
"576","chitin deacetylase activity"
"577","chitinase activity"
"578","chloride channel complex"
"579","chloroplast stroma"
"580","choline-sulfatase activity"
"581","choline binding"
"582","choline dehydrogenase activity"
"583","choline transport"
"584","cholinesterase activity"
"585","choloyl-CoA hydrolase activity"
"586","chorismate biosynthetic process"
"587","chorismate lyase activity"
"588","chorismate metabolic process"
"589","chorismate mutase activity"
"590","chorismate synthase activity"
"591","chromate transmembrane transporter activity"
"592","chromosome"
"593","chromosome condensation"
"594","chromosome organization"
"595","chromosome segregation"
"596","chromosome separation"
"597","citrate (pro-3S)-lyase activity"
"598","citrate (Si)-synthase activity"
"599","citrate CoA-transferase activity"
"600","citrate lyase complex"
"601","citrate metabolic process"
"602","citrulline biosynthetic process"
"603","citryl-CoA lyase activity"
"604","clearance of foreign intracellular DNA"
"605","cluster assembly"
"606","CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process"
"607","CoB--CoM heterodisulfide reductase activity"
"608","cob(I)yrinic acid a,c-diamide adenosyltransferase activity"
"609","cobalamin-transporting ATPase activity"
"610","cobalamin binding"
"611","cobalamin biosynthetic process"
"612","cobalamin transport"
"613","cobalt ion binding"
"614","cobalt ion transmembrane transporter activity"
"615","cobinamide phosphate guanylyltransferase activity"
"616","coenzyme A biosynthetic process"
"617","coenzyme binding"
"618","cofactor binding"
"619","cofactor biosynthetic process"
"620","colanic acid biosynthetic process"
"621","collagen binding"
"622","conjugation"
"623","copper-exporting ATPase activity"
"624","copper-transporting ATPase activity"
"625","copper ion binding"
"626","copper ion homeostasis"
"627","copper ion transport"
"628","coproporphyrinogen dehydrogenase activity"
"629","coproporphyrinogen oxidase activity"
"630","CTP biosynthetic process"
"631","CTP salvage"
"632","CTP synthase activity"
"633","CTP:3'-cytidine-tRNA cytidylyltransferase activity"
"634","CTP:tRNA cytidylyltransferase activity"
"635","CTPase activity"
"636","cyclic-di-GMP binding"
"637","cyclic-guanylate-specific phosphodiesterase activity"
"638","cyclic-nucleotide phosphodiesterase activity"
"639","cyclic nucleotide biosynthetic process"
"640","cyclic threonylcarbamoyladenosine biosynthetic process"
"641","cyclopropane-fatty-acyl-phospholipid synthase activity"
"642","cystathionine beta-lyase activity"
"643","cystathionine beta-synthase activity"
"644","cystathionine gamma-lyase activity"
"645","cystathionine gamma-synthase activity"
"646","cysteine-S-conjugate beta-lyase activity"
"647","cysteine-tRNA ligase activity"
"648","cysteine-type carboxypeptidase activity"
"649","cysteine-type endopeptidase activity"
"650","cysteine-type peptidase activity"
"651","cysteine biosynthetic process"
"652","cysteine biosynthetic process from serine"
"653","cysteine biosynthetic process via cystathionine"
"654","cysteine desulfurase activity"
"655","cysteine export"
"656","cysteine metabolic process"
"657","cysteine synthase activity"
"658","cysteine transmembrane transporter activity"
"659","cysteine transport"
"660","cysteinyl-tRNA aminoacylation"
"661","cytidine deaminase activity"
"662","cytidylate kinase activity"
"663","cytidylyltransferase activity"
"664","cytochrome-c oxidase activity"
"665","cytochrome-c peroxidase activity"
"666","cytochrome complex"
"667","cytochrome complex assembly"
"668","cytochrome o ubiquinol oxidase activity"
"669","cytokinetic process"
"670","cytokinin biosynthetic process"
"671","cytolysis"
"672","cytolysis by virus of host cell"
"673","cytoplasm"
