"Myxococcus xanthus"
"Toxoplasma gondii"
"Paramecium tetraurelia"
"Tetrahymena thermophila"
"Schistosoma mansoni"
"Limulus polyphemus"
"Dermatophagoides pteronyssinus"
"Sitophilus oryzae"
"Bombyx mori"
"Spodoptera frugiperda"
"Pieris brassicae"
"Manduca sexta"
"Galleria mellonella"
"Drosophila simulans"
"Musca domestica"
"Lucilia cuprina"
"Apis mellifera"
"Apis cerana"
"Apis dorsata"
"Apis florea"
"Spodoptera exigua multiple nucleopolyhedrovirus"
"Foot-and-mouth disease virus"
"Myzus persicae"
"Amborella trichopoda"
"Schisandra sphenanthera"
"Vaccinium macrocarpon"
"Cocos nucifera"
"Ceratonia siliqua"
"Punica granatum"
"Castanospermum australe"
"Bifidobacterium pseudocatenulatum"
"Serratia proteamaculans"
"Vibrio nigripulchritudo"
"Solanum pennellii"
"Pinus mugo"
"Rhagoletis zephyria"
"Salmonella enterica"
"Geranium maderense"
"Crassostrea gigas"
"Staphylococcus capitis"
"Acinetobacter haemolyticus"
"Veillonella parvula"
"Yersinia aldovae"
"Yersinia ruckeri"
"Vibrio splendidus"
"Spirodela polyrhiza"
"Vitis vinifera"
"Drosophila elegans"
"Anopheles stephensi"
"Eriobotrya japonica"
"Tetranychus urticae"
"Cutibacterium granulosum"
"Pseudomonas viridiflava"
"Zymobacter palmae"
"Lactobacillus johnsonii"
"Leuconostoc pseudomesenteroides"
"Rahnella aquatilis"
"Lotus japonicus"
"Ephedra major"
"Galendromus occidentalis"
"Citrobacter amalonaticus"
"Ephedra antisyphilitica"
"Fusarium poae"
"Mycobacteroides abscessus"
"Lodderomyces elongisporus"
"Enterococcus casseliflavus"
"Arthrobacter crystallopoietes"
"Bacteriophage sp."
"Salvia rosmarinus"
"Acinetobacter johnsonii"
"Acinetobacter radioresistens"
"Stenotrophomonas maltophilia"
"Prunus avium"
"Phoenix dactylifera"
"Pseudomonas alcaligenes"
"Paenarthrobacter aurescens"
"Brachybacterium faecium"
"Peganum harmala"
"Plumbago auriculata"
"Bombax ceiba"
"Nematostella vectensis"
"Weissella hellenica"
"Pseudomonas avellanae"
"Bupleurum falcatum"
"Pseudomonas oryzihabitans"
"Pseudomonas luteola"
"Serratia fonticola"
"Alternaria solani"
"Washingtonia robusta"
"Acinetobacter pittii"
"Pinus canariensis"
"Cercis canadensis"
"Sophora flavescens"
"Butomus umbellatus"
"Arabis alpina"
"Vibrio diabolicus"
"Cynomorium coccineum"
"Cotesia congregata"
"Elaeis guineensis"
"Enterococcus mundtii"
"Pseudomonas coronafaciens"
"Erwinia persicina"
"Brenneria rubrifaciens"
"Pistacia vera"
"Dioscorea cayenensis"
"Vibrio anguillarum"
"Pongamia pinnata"
"Xanthomonas sacchari"
"Quercus suber"
"Tamarindus indica"
"Arabidopsis lyrata"
"Pantoea dispersa"
"Vinca minor"
"Coniosporium apollinis"
"Enterobacter asburiae"
"Serratia ficaria"
"Serratia rubidaea"
"Shewanella baltica"
"Varroa jacobsoni"
"Tamarix pentandra"
"Sodalis glossinidius"
"Erwinia tracheiphila"
"Pantoea stewartii"
"Edwardsiella ictaluri"
"Enterobacter cancerogenus"
"Lelliottia nimipressuralis"
"Microplitis demolitor"
"Eucalyptus grandis"
"Pinus halepensis"
"Pinus pinaster"
"Pinus roxburghii"
"Vachellia farnesiana"
"Eutrema salsugineum"
"Formica exsecta"
"Rosa chinensis"
"Pseudomonas orientalis"
"Pseudomonas monteilii"
"Pseudomonas rhodesiae"
"Malassezia restricta"
"Malassezia sympodialis"
"uncultured bacterium"
"Pinus densiflora"
"Parascardovia denticolens"
"Spondias mombin"
"Aphis gossypii"
"Eleutherococcus senticosus"
"Ceiba speciosa"
"Crocus sativus"
"Cupriavidus gilardii"
"Liquorilactobacillus nagelii"
"Tatumella ptyseos"
"Serratia plymuthica"
"Linepithema humile"
"Hymenolepis microstoma"
"Citrus clementina"
"Picocystis salinarum"
"Pinus brutia"
"Pinus massoniana"
"Pinus tabuliformis"
"Pinus yunnanensis"
"Gastrodia elata"
"Asaia bogorensis"
"Platycodon grandiflorus"
"Xanthoceras sorbifolium"
"Spirometra erinaceieuropaei"
"uncultured eukaryote"
"Camponotus floridanus"
"Acinetobacter nosocomialis"
"Acinetobacter schindleri"
"Varroa destructor"
"Aphantopus hyperantus"
"Pediococcus inopinatus"
"Parasteatoda tepidariorum"
"Pseudomonas sp. B10"
"Cupriavidus metallidurans"
"Haberlea rhodopensis"
"Licania heteromorpha"
"Providencia alcalifaciens"
"Senna occidentalis"
"Kineococcus radiotolerans"
"Frankliniella occidentalis"
"Acinetobacter gyllenbergii"
"Zootermopsis nevadensis"
"Acacia ligulata"
"Candidatus Hamiltonella defensa"
"Serratia symbiotica"
"Tecomaria capensis"
"Lagerstroemia indica"
"Megachile rotundata"
"Lactobacillus kunkeei"
"Vibrio antiquarius"
"Pseudomonas sp. MT-1"
"Sphingomonas melonis"
"Erycina pusilla"
"Alternaria arborescens"
"Enterobacter hormaechei"
"Thrips tabaci"
"Acrocarpus fraxinifolius"
"Onthophagus taurus"
"Culicoides sonorensis"
"Eruca vesicaria"
"Erwinia billingiae"
"Ilex pubescens"
"Wolbachia endosymbiont of Callosobruchus chinensis"
"Tamarix hispida"
"Fowl aviadenovirus B"
"Leucaena trichandra"
"Vibrio rotiferianus"
"Haematoxylum brasiletto"
"Actinoplanes friuliensis"
"Planococcus rifietoensis"
"Roseomonas mucosa"
"Prosopis alba"
"Kosakonia cowanii"
"Entomoplasma lucivorax"
"Nymphaea colorata"
"Wolbachia endosymbiont of Bemisia tabaci"
"Pseudomonas rhizosphaerae"
"Stenotrophomonas rhizophila"
"Caligus rogercresseyi"
"Tegillarca granosa"
"Sesuvium portulacastrum"
"Orobanche crenata"
"Orobanche densiflora"
"Orobanche rapum-genistae"
"Pyrus x bretschneideri"
"Salvia miltiorrhiza"
"Hibiscus cannabinus"
"Klebsiella variicola"
"Pseudomonas sp. phDV1"
"Glutamicibacter arilaitensis"
"Shewanella decolorationis"
"Wolbachia endosymbiont of Culex quinquefasciatus"
"Pseudomonas xanthomarina"
"Photorhabdus asymbiotica"
"Lactobacillus apis"
"Neoasaia chiangmaiensis"
"Libidibia coriaria"
"Ziziphus jujuba"
"Erwinia tasmaniensis"
"Exiguobacterium mexicanum"
"Trifolium meduseum"
"Senna tora"
"Marchalina hellenica"
"Sodalis phage phiSG1"
"Ascorhynchus castellioides"
"Janthinobacterium sp. Marseille"
"Methylocystis heyeri"
"Rhazya stricta"
"Enterobacter sp. 638"
"Salinicoccus halodurans"
"Microcephalothrips abdominalis"
"Vollenhovia emeryi"
"Kazachstania africana"
"Lysobacter capsici"
"Pandoraea thiooxydans"
"Physochlaina orientalis"
"Planomicrobium glaciei"
"Pantoea vagans"
"Dorcoceras hygrometricum"
"Modestobacter marinus"
"Oscillatoria nigro-viridis"
"Serratia sp. SCBI"
"Vagococcus teuberi"
"Azospirillum thiophilum"
"Ligustrum quihoui"
"Cronobacter universalis"
"Friedmanniella sagamiharensis"
"Thiohalobacter thiocyanaticus"
"Habropoda laboriosa"
"Harpegnathos saltator"
"Albugo laibachii"
"Neisseria sp. KEM232"
"Neokomagataea tanensis"
"Erwinia piriflorinigrans"
"Mixta gaviniae"
"Amyelois transitella"
"Agrococcus carbonis"
"Lichtheimia ramosa"
"Neobartsia pedicularoides"
"Pseudomonas arsenicoxydans"
"Hyphopichia burtonii"
"Polistes dominula"
"Herbaspirillum huttiense"
"Enterobacter soli"
"Plautia stali symbiont"
"Gibbsiella quercinecans"
"Salvia dorisiana"
"Yersinia entomophaga"
"Actinoplanes sp. OR16"
"Tetrapisispora blattae"
"Pantoea rwandensis"
"Apis mellifera filamentous virus"
"Penicillium rubens"
"Snodgrassella alvi"
"Gilliamella apicola"
"secondary endosymbiont of Ctenarytaina eucalypti"
"Halomicronema hongdechloris"
"Lactobacillus kullabergensis"
"Lactobacillus helsingborgensis"
"Lactobacillus apinorum"
"Lactobacillus sp. Fhon2N"
"Acinetobacter nectaris"
"Sodalis praecaptivus"
"Frischella perrara"
"Sodalis-like endosymbiont of Philaenus spumarius"
"Arcobacter suis"
"Musca hytrovirus"
"Pezothrips kellyanus"
"Brachybacterium ginsengisoli"
"Pseudomonas sp. JY-Q"
"Campomanesia xanthocarpa"
"Enterobacter sp. NRS-1"
"Hymenobacter sedentarius"
"Klebsiella quasipneumoniae"
"Pantoea sp. PSNIH1"
"Candidatus Sodalis pierantonius"
"Pseudomonas sp. WCS374"
"Planococcus massiliensis"
"Pseudomonas sp. Os17"
"Parasaccharibacter apium"
"Sphingomonas sp. AAP5"
"Lactobacillus sp. wkB8"
"Mycobacterium sp. EPa45"
"Sphingomonas taxi"
"Heuchera parviflora"
"Wenzhouxiangella marina"
"Pseudomonas cerasi"
"Novosphingobium sp. P6W"
"Mixta intestinalis"
"Erwinia gerundensis"
"Citrobacter portucalensis"
"Bartonella apis"
"Citrobacter sp. CRE-46"
"Wallemia mellicola"
"Lophophytum mirabile"
"Nepenthes ventricosa x Nepenthes alata"
"Ancylobacter pratisalsi"
"Bordetella sp. N"
"Paraburkholderia caffeinilytica"
"Glutamicibacter mishrai"
"Candidatus Doolittlea endobia"
"Acinetobacter lactucae"
"Burkholderia sp. PAMC 26561"
"Burkholderia sp. PAMC 28687"
"Acinetobacter sp. DUT-2"
"Enterobacter sp. ODB01"
"Penicillium arizonense"
"Castilleja paramensis"
"Pantoea alhagi"
"Taraxacum sp. RHS-2016"
"Klebsiella sp. LTGPAF-6F"
"Tessaracoccus sp. T2.5-30"
"Enterobacter sp. SA187"
"Glutamicibacter halophytocola"
"Vitis riparia x Vitis cinerea"
"Shewanella bicestrii"
"Candidatus Saccharibacteria bacterium"
"Enterobacter cloacae complex sp."
"Shewanella sp. WE21"
"Spirosoma pollinicola"
"Shewanella sp. Pdp11"
"Gammaproteobacteria bacterium ESL0073"
"Acinetobacter sp. SWBY1"
"Deinococcus sp. NW-56"
"Microvirga sp. 17 mud 1-3"
"Pseudomonas sp. LBUM920"
"Nissabacter sp. SGAir0207"
"Acinetobacter cumulans"
"Lelliottia sp. WB101"
"Siphoviridae sp."
"Rhodobacteraceae bacterium BAR1"
"Teucrium mascatense"
"Myoviridae sp."
"Aphyllon epigalium"
"Pinus nigra virus 1"
"Serratia phage JS26"
"Lactobacillus sp. BHWM-4"
"Serratia sp. 1D1416"
"Tatumella sp. TA1"
"Klebsiella sp. FDAARGOS_511"
"Pantoea phage vB_PagS_MED16"
"Apibacter raozihei"
"Nocardioides sp. S-1144"
"Raoultella sp. NCTC 9189"
"Wolbachia endosymbiont of Carposina sasakii"
"Methylobacterium sp. WL1"
"Pseudomonas sp. J380"
"Rathayibacter sp. VKM Ac-2804"
"Bombella sp. ESL0368"
"Lactobacillus sp. P38"
"Pontibacter pudoricolor"
"Leucobacter sp. HDW9C"
"Streptomyces sp. S1D4-11"
"Buchnera aphidicola"
"Simonsiella muelleri"
"Thermus aquaticus"
"Thermus thermophilus"
"Meiothermus ruber"
"Xanthobacter autotrophicus"
"Brevundimonas diminuta"
"Hydrogenophilus thermoluteolus"
"Pseudomonas oleovorans"
"Ralstonia pickettii"
"Xanthomonas campestris"
"Rhizobium phaseoli"
"Acetobacter aceti"
"Neisseria flavescens"
"Neisseria mucosa"
"Neisseria elongata"
"Alcaligenes faecalis"
"Ochrobactrum anthropi"
"Erwinia amylovora"
"Pectobacterium carotovorum"
"Vibrio cholerae"
"Haemophilus influenzae"
"Haemophilus parainfluenzae"
"Aggregatibacter aphrophilus"
"Campylobacter ureolyticus"
"Fusobacterium nucleatum"
"Capnocytophaga gingivalis"
"Capnocytophaga sputigena"
"Erythrobacter sp."
"Leuconostoc mesenteroides"
"Leuconostoc carnosum"
"Finegoldia magna"
"Micrococcus luteus"
"Staphylococcus haemolyticus"
"Staphylococcus hominis"
"Streptococcus gordonii"
"Streptococcus oralis"
"Streptococcus salivarius"
"Streptococcus sanguinis"
"Streptococcus thermophilus"
"Streptococcus agalactiae"
"Streptococcus pneumoniae"
"Streptococcus pyogenes"
"Streptococcus parasanguinis"
"Streptococcus uberis"
"Lactococcus garvieae"
"Gemella haemolysans"
"Lancefieldella parvula"
"Bacillus licheniformis"
"Bacillus smithii"
"Lactobacillus brevis"
"Lactiplantibacillus plantarum"
"Lacticaseibacillus paracasei"
"Lactobacillus amylovorus"
"Limosilactobacillus fermentum"
"Schaalia odontolytica"
"Bifidobacterium adolescentis"
"Bifidobacterium catenulatum"
"Brevibacterium linens"
"Corynebacterium diphtheriae"
"Corynebacterium pseudotuberculosis"
"Corynebacterium xerosis"
"Corynebacterium variabile"
"Propionibacterium freudenreichii"
"Acidipropionibacterium acidipropionici"
"Rhodococcus fascians"
"Gardnerella vaginalis"
"Brochothrix thermosphacta"
"Nigella damascena"
"Cannabis sativa"
"Theobroma cacao"
"Arabidopsis thaliana"
"Brassica nigra"
"Brassica rapa"
"Brassica oleracea"
"Sinapis alba"
"Abrus precatorius"
"Vigna unguiculata"
"Daucus carota"
"Capsicum annuum"
"Sesamum indicum"
"Helianthus annuus"
"Lactuca sativa"
"Cynara cardunculus"
"Platanus occidentalis"
"Lolium perenne"
"Triticum aestivum"
"Schizosaccharomyces pombe"
"Pichia kudriavzevii"
"Kluyveromyces marxianus"
"Millerozyma farinosa"
"Aspergillus clavatus"
"Fusarium oxysporum"
"Helobdella robusta"
"Pecten maximus"
"Ixodes scapularis"
"Acyrthosiphon pisum"
"Bemisia tabaci"
"Drosophila serrata"
"Human immunodeficiency virus 1"
"Sphingobium yanoikuyae"
"Brachypodium distachyon"
"Staphylococcus lugdunensis"
"Streptococcus mitis"
"Lactobacillus curvatus"
"Acinetobacter lwoffii"
"Prevotella intermedia"
"Prevotella melaninogenica"
"Capnocytophaga cynodegmi"
"Komagataeibacter xylinus"
"Neisseria subflava"
"Reseda alba"
"Neospora caninum"
"Staphylococcus cohnii"
"Staphylococcus saprophyticus"
"Dolosigranulum pigrum"
"Rhodothermus marinus"
"Brachypodium sylvaticum"
"Cutibacterium avidum"
"Anaerococcus prevotii"
"Sphingopyxis macrogoltabida"
"Papaver rhoeas"
"Anoxybacillus flavithermus"
"Lactobacillus kefiri"
"Leuconostoc citreum"
"Moraxella osloensis"
"Gossypium turneri"
"Blumeria graminis"
"Ipomoea trifida"
"Ipomoea triloba"
"Cuscuta gronovii"
"Clavispora lusitaniae"
"Thermus scotoductus"
"Aegilops tauschii"
"Corynebacterium jeikeium"
"Quercus robur"
"Veillonella atypica"
"Dialister pneumosintes"
"Acinetobacter junii"
"Dasypyrum villosum"
"Botrytis cinerea"
"Aspergillus glaucus"
"Chrysanthemum x morifolium"
"Rothia mucilaginosa"
"Corynebacterium matruchotii"
"Corynebacterium segmentosum"
"Streptococcus cristatus"
"Staphylococcus pasteuri"
"Lautropia mirabilis"
"Pseudomonas azotoformans"
"Pseudomonas taetrolens"
"Novosphingobium aromaticivorans"
"Asphodelus aestivus"
"Landoltia punctata"
"Juglans regia"
"Allium subhirsutum"
"Meiothermus silvanus"
"Peptoniphilus harei"
"Streptomyces venezuelae"
"Thermus brockianus"
"Fragaria vesca"
"Kluyvera intermedia"
"Hemiptelea davidii"
"Achlys triphylla"
"Chenopodium quinoa"
"Acetobacter pomorum"
"Medicago arborea"
"Caulobacter sp. FWC26"
"Hirschfeldia incana"
"Kocuria palustris"
"Cataglyphis cursor"
"Erigeron canadensis"
"Rosa multiflora"
"Populus euphratica"
"Thermocrinis ruber"
"Fallopia multiflora"
"Malassezia globosa"
"Sphingobium herbicidovorans"
"Thermothelomyces thermophilus"
"Phalaenopsis equestris"
"Erwinia pyrifoliae"
"Delftia acidovorans"
"Gemella sanguinis"
"Microbacterium chocolatum"
"Gordonia polyisoprenivorans"
"Burkholderia multivorans"
"Sphingomonas koreensis"
"Ramlibacter tataouinensis"
"Burkholderia cenocepacia"
"Quercus lobata"
"Matricaria chamomilla"
"Glebionis coronaria"
"Ralstonia mannitolilytica"
"Acinetobacter bereziniae"
"Acinetobacter guillouiae"
"Acinetobacter ursingii"
"Streptococcus australis"
"Coprococcus catus"
"Pseudoalteromonas sp. A25"
"Enterococcus rotai"
"Glebionis segetum"
"Ustilago hordei"
"Pseudomonas psychrophila"
"Drosophila biarmipes"
"Hesperelaea palmeri"
"Schaalia radingae"
"Parastrongyloides trichosuri"
"Paraburkholderia fungorum"
"Sphingobium amiense"
"Corynebacterium simulans"
"Chrysanthemum indicum"
"Paracoccus yeei"
"uncultured Bacteroidetes bacterium"
"Caulobacter vibrioides"
"Corynebacterium riegelii"
"Corynebacterium casei"
"Cistanche tubulosa"
"Corynebacterium kroppenstedtii"
"Corynebacterium singulare"
"Beta vulgaris"
"Roseburia intestinalis"
"Anacardium occidentale"
"Meiothermus taiwanensis"
"Delftia sp. AN3"
"Monotropa hypopitys"
"Delftia tsuruhatensis"
"Jatropha curcas"
"Thermodesulfobium narugense"
"Plantago lagopus"
"Tamarix chinensis"
"Ralstonia insidiosa"
"Cistus creticus"
"Plantago patagonica"
"Brevibacterium luteolum"
"Lepidium densiflorum"
"Pseudomonas poae"
"Novosphingobium pentaromativorans"
"Corchorus capsularis"
"Staphylococcus nepalensis"
"Orobanche austrohispanica"
"Peribacillus asahii"
"Acidovorax sp. JS42"
"Apiotrichum mycotoxinovorans"
"Streptococcus pseudopneumoniae"
"Janibacter melonis"
"Ochrobactrum quorumnocens"
"Brevibacterium aurantiacum"
"Bradyrhizobium sp. BTAi1"
"Sphingopyxis sp. 113P3"
"Anoxybacillus amylolyticus"
"Lactobacillus harbinensis"
"Sphingomonas sp. IC081"
"Ustilago bromivora"
"Pseudomonas simiae"
"Capnocytophaga leadbetteri"
"Nitrospira defluvii"
"Betapapillomavirus 2"
"Cistus parviflorus"
"Cistus laurifolius"
"Sphingobium fuliginis"
"Betapapillomavirus 1"
"uncultured virus"
"Beta macrocarpa"
"Micavibrio aeruginosavorus"
"Acidovorax sp. KKS102"
"Caulobacter sp. K31"
"Corynebacterium sp. L2-79-05"
"Terribacillus goriensis"
"Sphingomonas sanxanigenens"
"Corynebacterium ureicelerivorans"
"Alicyclobacillus acidocaldarius"
"Chryseobacterium haifense"
"Acetobacter ghanensis"
"Ogataea polymorpha"
"Cladophialophora yegresii"
"Helianthemum nummularium"
"Actinomyces oris"
"Acidovorax carolinensis"
"Neomicrococcus aestuarii"
"Propionibacterium acidifaciens"
"Paenibacillus cellulositrophicus"
"Corynebacterium maris"
"Brevundimonas naejangsanensis"
"Olleya aquimaris"
"Neisseria sp. oral taxon 014"
"Anaerostipes hadrus"
"Propionibacterium sp. oral taxon 193"
"Methylomonas koyamae"
"Corynebacterium sp. NML98-0116"
"Actinomyces sp. oral taxon 171"
"Haemophilus sp. oral taxon 036"
"Leptotrichia sp. oral taxon 212"
"Streptococcus sp. oral taxon 431"
"Tannerella sp. oral taxon HOT-286"
"Delftia sp. Cs1-4"
"Sphingomonas sp. MM-1"
"Dendrobium catenatum"
"Palaeococcus pacificus"
"Deinococcus wulumuqiensis"
"Novosphingobium sp. THN1"
"Achillea santolina"
"Drosophila rhopaloa"
"Lonsdalea britannica"
"Klebsiella michiganensis"
"Streptococcus sp. I-P16"
"Corynebacteriaceae bacterium 'ARUP UnID 227'"
"Erigeron rupicola"
"Prevotella jejuni"
"Flavobacterium sp. KBS0721"
"Pseudomonas asturiensis"
"Neobacillus thermocopriae"
"Lactobacillus mellis"
"Ocellularia henatomma"
"Actinidia rufa x Actinidia chinensis"
"Capnocytophaga sp. oral taxon 878"
"Bradyrhizobium guangdongense"
"Brevundimonas vancanneytii"
"Sphingomonas sp. ERG5"
"Paraprenanthes diversifolia"
"Brevibacterium sp. YB235"
"Leuconostoc suionicum"
"Sphingopyxis fribergensis"
"Lawsonella clevelandensis"
"Brevundimonas sp. DS20"
"Paenibacillus sp. FSL R5-0345"
"Blastomonas fulva"
"Ruminococcaceae bacterium CPB6"
"Staphylococcus phage IME-SA4"
"Berkelbacteria bacterium GW2011_GWE1_39_12"
"Geobacillus sp. 12AMOR1"
"Dermabacter vaginalis"
"Acetobacter oryzifermentans"
"Acinetobacter sp. TTH0-4"
"Ottowia sp. oral taxon 894"
"Dermabacter jinjuensis"
"Sphingobium hydrophobicum"
"Diplostephium hartwegii"
"Kurthia sp. 11kri321"
"Streptococcus sp. A12"
"Geobacillus sp. JS12"
"Sphingobium sp. RAC03"
"Ezakiella massiliensis"
"Anaerococcus mediterraneensis"
"Acinetobacter sp. WCHAc010034"
"Selenomonas sp. oral taxon 920"
"Anaerolineaceae bacterium oral taxon 439"
"Rhodocyclaceae bacterium"
"Stenotrophomonas sp. LM091"
"Sphingopyxis sp. FD7"
"Delftia sp. HK171"
"Candidatus Fonsibacter ubiquis"
"Sulfurivermis fontis"
"Phytobacter ursingii"
"Parolsenella catena"
"Acinetobacter sp. WCHA45"
"Aerosticca soli"
"Enterobacteriaceae bacterium A-F18"
"Chionanthus rupicola"
"Altererythrobacter sp. TH136"
"Commensalibacter sp. ESL0284"
"Zoogloeaceae bacteirum Par-f-2"
"Sphingobium sp. YG1"
"Stauroneis sp."
"Variovorax sp. PMC12"
"Tessaracoccus timonensis"
"Thauera hydrothermalis"
"Commensalibacter sp. AMU001"
"Sphingomonas sp. C8-2"
"Paracoccus sp. Arc7-R13"
"Halieaceae bacterium IMCC3088"
"Planctomycetes bacterium Mal4"
"Capnocytophaga sp. FDAARGOS_737"
"Thermaerobacter sp. FW80"
"Stenotrophomonas sp. DAIF1"
"Porphyrobacter sp. YT40"
"Brevibacterium sp. CS2"
"Streptococcus sp. 116-D4"
"Capnocytophaga endodontalis"
"Mesorhizobium terrae"
"Spirochaeta thermophila"
"Pseudomonas mendocina"
"Xanthomonas translucens"
"Agrobacterium tumefaciens"
"Methylorubrum extorquens"
"Citrobacter koseri"
"Atlantibacter hermannii"
"Yersinia enterocolitica"
"Yersinia pestis"
"Yersinia pseudotuberculosis"
"Aeromonas hydrophila"
"Herbaspirillum seropedicae"
"Streptococcus mutans"
"Enterococcus faecium"
"Bacillus cereus"
"Bacillus pumilus"
"Sporosarcina ureae"
"Lactobacillus reuteri"
"Lactobacillus sanfranciscensis"
"Citrus cavaleriei"
"Carnobacterium divergens"
"Carnobacterium maltaromaticum"
"Magnolia grandiflora"
"Quercus alba"
"Cucurbita moschata"
"Brassica napus"
"Glycine max"
"Vicia faba"
"Eucalyptus gunnii"
"Nicotiana tabacum"
"Hamamelis mollis"
"Setaria italica"
"Kockovaella imperatae"
"Bipolaris maydis"
"Fusarium fujikuroi"
"Rhodotorula toruloides"
"Candida parapsilosis"
"Leishmania mexicana"
"Plasmodium knowlesi"
"Haemonchus contortus"
"Asterias rubens"
"Verticillium dahliae"
"Bactrocera dorsalis"
"Tannerella forsythia"
"Bacteroides ovatus"
"Prevotella denticola"
"Helicoverpa armigera"
"Staphylococcus arlettae"
"Pseudomonas savastanoi"
"Gossypium raimondii"
"Laccaria bicolor"
"Drosophila busckii"
"Eucalyptus camaldulensis"
"Eucalyptus globulus"
"Corynebacterium kutscheri"
"Ipomoea nil"
"Cyberlindnera fabianii"
"Ajuga reptans"
"Pterosperma cristatum"
"Zygosaccharomyces mellis"
"Rhopalosiphum maidis"
"Koelreuteria paniculata"
"Schinus molle"
"Saccharomycopsis malanga"
"Dictyostelium discoideum"
"Capnocytophaga haemolytica"
"Wickerhamiella sorbophila"
"Ligustrum japonicum"
"Medicago lupulina"
"Gossypioides kirkii"
"Pseudomonas amygdali"
"Pseudomonas fulva"
"Carnobacterium sp."
"Nicotiana attenuata"
"Erythrina crista-galli"
"Venturia effusa"
"Plutella xylostella"
"Chamaerops humilis"
"Citrus unshiu"
"Sediminispirochaeta smaragdinae"
"Pantoea cypripedii"
"Xanthomonas arboricola"
"Xanthomonas hyacinthi"
"Trifolium pratense"
"Quercus ilex"
"Parrotia subaequalis"
"Hypericum perforatum"
"Durio zibethinus"
"Streptomyces fungicidicus"
"Ageratum conyzoides"
"Cecidophyopsis ribis"
"Bifidobacterium gallinarum"
"Asticcacaulis excentricus"
"Acidovorax avenae"
"Paonias myops"
"Leclercia adecarboxylata"
"Lactobacillus amylolyticus"
"Achromobacter xylosoxidans"
"Chlamydia pecorum"
"Peptacetobacter hiranonis"
"Corchorus olitorius"
"Trifolium grandiflorum"
"Eucalyptus saligna"
"Quercus variabilis"
"Pseudomonas frederiksbergensis"
"Mesembryanthemum cordifolium"
"Herrania umbratica"
"Megalopta genalis"
"Saccharum hybrid cultivar"
"Arachis duranensis"
"Weissella cibaria"
"Diuraphis noxia"
"Sipha flava"
"Nannochloropsis oceanica"
"Lactobacillus iners"
"Ceratina calcarata"
"Corynebacterium imitans"
